|dates|NorthSlope_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|NorthSlope_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|NorthSlope_Alaska_UnitedStates.Male_Total_Population.data|NorthSlope_Alaska_UnitedStates.Male_Total_Population.missing|NorthSlope_Alaska_UnitedStates.Female_Total_Population.data|NorthSlope_Alaska_UnitedStates.Female_Total_Population.missing|NorthSlope_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|NorthSlope_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-06|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-07|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-08|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-09|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-10|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-11|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-12|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-13|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-14|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-15|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-16|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-17|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-18|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-19|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-20|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-21|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-22|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-23|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-24|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-25|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-26|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-27|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-28|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-29|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-30|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-31|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-01|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-02|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-03|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-04|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-05|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-06|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-07|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-08|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-09|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-10|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-11|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-12|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-13|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-14|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-15|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-16|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2022-01-17|673.0|0|6145.0|0|3727.0|0|2613.0|0
