|dates|Clark_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Clark_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Clark_SouthDakota_UnitedStates.Male_Total_Population.data|Clark_SouthDakota_UnitedStates.Male_Total_Population.missing|Clark_SouthDakota_UnitedStates.Female_Total_Population.data|Clark_SouthDakota_UnitedStates.Female_Total_Population.missing|Clark_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Clark_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-17|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-18|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-19|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-20|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-21|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-22|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-23|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-24|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-25|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-26|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-27|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-28|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-29|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-30|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-01|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-02|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-03|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-04|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-05|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-06|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-07|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-08|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-09|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-10|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-11|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-12|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-13|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-14|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-15|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-16|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-17|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-18|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-19|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-20|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-21|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-22|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-23|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-24|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-25|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-26|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-27|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-28|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-29|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-30|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-12-31|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-01|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-02|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-03|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-04|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-05|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-06|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-07|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-08|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-09|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-10|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-11|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-12|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-13|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-14|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-15|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-16|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2022-01-17|791.0|0|1925.0|0|1814.0|0|966.0|0
