|dates|Sierra_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sierra_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sierra_California_UnitedStates.Male_Total_Population.data|Sierra_California_UnitedStates.Male_Total_Population.missing|Sierra_California_UnitedStates.Female_Total_Population.data|Sierra_California_UnitedStates.Female_Total_Population.missing|Sierra_California_UnitedStates.MaleAndFemale_Under18_Population.data|Sierra_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-12|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-13|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-14|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-15|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-16|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-17|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-18|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-19|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-20|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-21|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-22|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-23|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-24|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-25|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-26|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-27|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-28|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-29|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-30|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-01|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-02|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-03|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-04|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-05|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-06|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-07|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-08|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-09|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-10|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-11|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-12|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-13|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-14|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-15|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-16|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-17|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-18|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-19|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-20|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-21|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-22|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-23|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-24|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-25|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-26|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-27|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-28|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-29|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-30|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-12-31|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-01|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-02|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-03|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-04|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-05|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-06|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-07|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-08|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-09|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-10|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-11|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-12|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-13|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-14|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-15|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-16|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2022-01-17|945.0|0|1511.0|0|1476.0|0|480.0|0
