|dates|Whatcom_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Whatcom_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Whatcom_Washington_UnitedStates.Male_Total_Population.data|Whatcom_Washington_UnitedStates.Male_Total_Population.missing|Whatcom_Washington_UnitedStates.Female_Total_Population.data|Whatcom_Washington_UnitedStates.Female_Total_Population.missing|Whatcom_Washington_UnitedStates.MaleAndFemale_Under18_Population.data|Whatcom_Washington_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-15|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-16|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-17|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-18|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-19|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-20|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-21|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-22|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-23|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-24|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-25|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-26|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-27|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-28|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-29|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-30|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-01|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-02|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-03|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-04|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-05|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-06|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-07|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-08|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-09|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-10|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-11|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-12|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-13|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-14|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-15|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-16|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-17|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-18|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-19|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-20|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-21|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-22|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-23|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-24|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-25|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-26|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-27|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-28|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-29|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-30|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-12-31|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-01|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-02|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-03|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-04|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-05|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-06|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-07|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-08|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-09|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-10|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-11|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-12|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-13|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-14|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-15|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-16|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2022-01-17|39158.0|0|111688.0|0|113997.0|0|43910.0|0
