|dates|Washington_Texas_UnitedStates.JHU_ConfirmedCases.data|Washington_Texas_UnitedStates.JHU_ConfirmedCases.missing|Washington_Texas_UnitedStates.NYT_ConfirmedCases.data|Washington_Texas_UnitedStates.NYT_ConfirmedCases.missing|Washington_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-13|5793.0|0|5793.0|0|131.0|0|0.0|100
0|2021-11-14|5794.0|0|5794.0|0|131.0|0|0.0|100
0|2021-11-15|5794.0|0|5794.0|0|131.0|0|0.0|100
0|2021-11-16|5808.0|0|5808.0|0|132.0|0|0.0|100
0|2021-11-17|5809.0|0|5809.0|0|132.0|0|0.0|100
0|2021-11-18|5813.0|0|5813.0|0|132.0|0|0.0|100
0|2021-11-19|5817.0|0|5817.0|0|132.0|0|0.0|100
0|2021-11-20|5818.0|0|5818.0|0|132.0|0|0.0|100
0|2021-11-21|5818.0|0|5818.0|0|132.0|0|0.0|100
0|2021-11-22|5824.0|0|5824.0|0|132.0|0|0.0|100
0|2021-11-23|5824.0|0|5824.0|0|132.0|0|0.0|100
0|2021-11-24|5831.0|0|5831.0|0|132.0|0|0.0|100
0|2021-11-25|5831.0|0|5831.0|0|132.0|0|0.0|100
0|2021-11-26|5831.0|0|5831.0|0|132.0|0|0.0|100
0|2021-11-27|5831.0|0|5831.0|0|132.0|0|0.0|100
0|2021-11-28|5831.0|0|5831.0|0|132.0|0|0.0|100
0|2021-11-29|5846.0|0|5846.0|0|132.0|0|0.0|100
0|2021-11-30|5847.0|0|5847.0|0|132.0|0|0.0|100
0|2021-12-01|5848.0|0|5848.0|0|133.0|0|0.0|100
0|2021-12-02|5850.0|0|5850.0|0|133.0|0|0.0|100
0|2021-12-03|5853.0|0|5853.0|0|133.0|0|0.0|100
0|2021-12-04|5854.0|0|5854.0|0|133.0|0|0.0|100
0|2021-12-05|5854.0|0|5856.0|0|133.0|0|0.0|100
0|2021-12-06|5857.0|0|5857.0|0|133.0|0|0.0|100
0|2021-12-07|5862.0|0|5862.0|0|133.0|0|0.0|100
0|2021-12-08|5864.0|0|5864.0|0|133.0|0|0.0|100
0|2021-12-09|5866.0|0|5866.0|0|133.0|0|0.0|100
0|2021-12-10|5887.0|0|5887.0|0|133.0|0|0.0|100
0|2021-12-11|5891.0|0|5891.0|0|133.0|0|0.0|100
0|2021-12-12|5895.0|0|5895.0|0|133.0|0|0.0|100
0|2021-12-13|5897.0|0|5897.0|0|133.0|0|0.0|100
0|2021-12-14|5897.0|0|5900.0|0|133.0|0|0.0|100
0|2021-12-15|5906.0|0|5906.0|0|134.0|0|0.0|100
0|2021-12-16|5910.0|0|5910.0|0|134.0|0|0.0|100
0|2021-12-17|5912.0|0|5912.0|0|135.0|0|0.0|100
0|2021-12-18|5915.0|0|5915.0|0|135.0|0|0.0|100
0|2021-12-19|5916.0|0|5916.0|0|135.0|0|0.0|100
0|2021-12-20|5923.0|0|5923.0|0|135.0|0|0.0|100
0|2021-12-21|5931.0|0|5931.0|0|135.0|0|0.0|100
0|2021-12-22|5940.0|0|5940.0|0|135.0|0|0.0|100
0|2021-12-23|5964.0|0|5964.0|0|135.0|0|0.0|100
0|2021-12-24|5964.0|0|5964.0|0|135.0|0|0.0|100
0|2021-12-25|5964.0|0|5964.0|0|135.0|0|0.0|100
0|2021-12-26|5964.0|0|5964.0|0|135.0|0|0.0|100
0|2021-12-27|6052.0|0|6052.0|0|135.0|0|0.0|100
0|2021-12-28|6062.0|0|6062.0|0|135.0|0|0.0|100
0|2021-12-29|6088.0|0|6088.0|0|135.0|0|0.0|100
0|2021-12-30|6093.0|0|6093.0|0|135.0|0|0.0|100
0|2021-12-31|6093.0|0|6093.0|0|135.0|0|0.0|100
0|2022-01-01|6093.0|0|6093.0|0|135.0|0|0.0|100
0|2022-01-02|6093.0|0|6093.0|0|135.0|0|0.0|100
0|2022-01-03|6388.0|0|6388.0|0|135.0|0|0.0|100
0|2022-01-04|6469.0|0|6469.0|0|135.0|0|0.0|100
0|2022-01-05|6505.0|0|6505.0|0|135.0|0|0.0|100
0|2022-01-06|6538.0|0|6538.0|0|135.0|0|0.0|100
0|2022-01-07|6688.0|0|6688.0|0|135.0|0|0.0|100
0|2022-01-08|6708.0|0|6708.0|0|135.0|0|0.0|100
0|2022-01-09|6791.0|0|6791.0|0|135.0|0|0.0|100
0|2022-01-10|6831.0|0|6831.0|0|135.0|0|0.0|100
0|2022-01-11|6848.0|0|6848.0|0|135.0|0|0.0|100
0|2022-01-12|6891.0|0|6891.0|0|135.0|0|0.0|100
0|2022-01-13|6891.0|0|6947.0|0|135.0|0|0.0|100
0|2022-01-14|6947.0|0|7584.0|0|135.0|0|0.0|100
0|2022-01-15|7654.0|0|7654.0|0|135.0|0|0.0|100
0|2022-01-16|7747.0|0|7747.0|0|135.0|0|0.0|100
0|2022-01-17|7864.0|0|0.0|100|135.0|0|0.0|100
