|dates|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedCases.data|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|HotSpring_Arkansas_UnitedStates.NYT_ConfirmedCases.data|HotSpring_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-15|7877.0|0|7877.0|0|113.0|0|0.0|100
0|2021-12-16|7887.0|0|7887.0|0|113.0|0|0.0|100
0|2021-12-17|7906.0|0|7906.0|0|113.0|0|0.0|100
0|2021-12-18|7920.0|0|7920.0|0|113.0|0|0.0|100
0|2021-12-19|7926.0|0|7926.0|0|113.0|0|0.0|100
0|2021-12-20|7926.0|0|7926.0|0|113.0|0|0.0|100
0|2021-12-21|7935.0|0|7935.0|0|113.0|0|0.0|100
0|2021-12-22|7949.0|0|7949.0|0|113.0|0|0.0|100
0|2021-12-23|7959.0|0|7959.0|0|113.0|0|0.0|100
0|2021-12-24|7981.0|0|7981.0|0|113.0|0|0.0|100
0|2021-12-25|7989.0|0|7989.0|0|114.0|0|0.0|100
0|2021-12-26|7994.0|0|7994.0|0|114.0|0|0.0|100
0|2021-12-27|7997.0|0|7997.0|0|114.0|0|0.0|100
0|2021-12-28|8023.0|0|8023.0|0|114.0|0|0.0|100
0|2021-12-29|8055.0|0|8055.0|0|114.0|0|0.0|100
0|2021-12-30|8096.0|0|8096.0|0|113.0|0|0.0|100
0|2021-12-31|8139.0|0|8139.0|0|113.0|0|0.0|100
0|2022-01-01|8224.0|0|8224.0|0|113.0|0|0.0|100
0|2022-01-02|8237.0|0|8237.0|0|113.0|0|0.0|100
0|2022-01-03|8244.0|0|8244.0|0|113.0|0|0.0|100
0|2022-01-04|8289.0|0|8289.0|0|113.0|0|0.0|100
0|2022-01-05|8349.0|0|8349.0|0|113.0|0|0.0|100
0|2022-01-06|8429.0|0|8429.0|0|113.0|0|0.0|100
0|2022-01-07|8509.0|0|8509.0|0|113.0|0|0.0|100
0|2022-01-08|8544.0|0|8544.0|0|113.0|0|0.0|100
0|2022-01-09|8544.0|0|8544.0|0|113.0|0|0.0|100
0|2022-01-10|8609.0|0|8609.0|0|113.0|0|0.0|100
0|2022-01-11|8674.0|0|8674.0|0|113.0|0|0.0|100
0|2022-01-12|8766.0|0|8766.0|0|113.0|0|0.0|100
0|2022-01-13|8766.0|0|8914.0|0|113.0|0|0.0|100
0|2022-01-14|9024.0|0|9024.0|0|113.0|0|0.0|100
0|2022-01-15|9183.0|0|9183.0|0|113.0|0|0.0|100
0|2022-01-16|9220.0|0|9220.0|0|113.0|0|0.0|100
0|2022-01-17|9248.0|0|0.0|100|113.0|0|0.0|100
