|dates|Mason_Illinois_UnitedStates.JHU_ConfirmedCases.data|Mason_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Mason_Illinois_UnitedStates.NYT_ConfirmedCases.data|Mason_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Mason_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Mason_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Mason_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Mason_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-13|2459.0|0|2459.0|0|53.0|0|0.0|100
0|2021-12-14|2459.0|0|2487.0|0|53.0|0|0.0|100
0|2021-12-15|2505.0|0|2505.0|0|53.0|0|0.0|100
0|2021-12-16|2518.0|0|2518.0|0|53.0|0|0.0|100
0|2021-12-17|2534.0|0|2534.0|0|53.0|0|0.0|100
0|2021-12-18|2534.0|0|2534.0|0|53.0|0|0.0|100
0|2021-12-19|2534.0|0|2534.0|0|53.0|0|0.0|100
0|2021-12-20|2554.0|0|2554.0|0|53.0|0|0.0|100
0|2021-12-21|2564.0|0|2564.0|0|53.0|0|0.0|100
0|2021-12-22|2580.0|0|2580.0|0|53.0|0|0.0|100
0|2021-12-23|2595.0|0|2595.0|0|53.0|0|0.0|100
0|2021-12-24|2595.0|0|2595.0|0|53.0|0|0.0|100
0|2021-12-25|2595.0|0|2595.0|0|53.0|0|0.0|100
0|2021-12-26|2595.0|0|2595.0|0|53.0|0|0.0|100
0|2021-12-27|2637.0|0|2637.0|0|53.0|0|0.0|100
0|2021-12-28|2665.0|0|2665.0|0|53.0|0|0.0|100
0|2021-12-29|2692.0|0|2692.0|0|53.0|0|0.0|100
0|2021-12-30|2704.0|0|2704.0|0|53.0|0|0.0|100
0|2021-12-31|2704.0|0|2704.0|0|53.0|0|0.0|100
0|2022-01-01|2704.0|0|2704.0|0|53.0|0|0.0|100
0|2022-01-02|2704.0|0|2704.0|0|53.0|0|0.0|100
0|2022-01-03|2762.0|0|2762.0|0|53.0|0|0.0|100
0|2022-01-04|2786.0|0|2786.0|0|53.0|0|0.0|100
0|2022-01-05|2819.0|0|2819.0|0|54.0|0|0.0|100
0|2022-01-06|2897.0|0|2897.0|0|54.0|0|0.0|100
0|2022-01-07|2944.0|0|2944.0|0|55.0|0|0.0|100
0|2022-01-08|2944.0|0|2944.0|0|55.0|0|0.0|100
0|2022-01-09|2944.0|0|2944.0|0|55.0|0|0.0|100
0|2022-01-10|2978.0|0|2978.0|0|55.0|0|0.0|100
0|2022-01-11|3029.0|0|3029.0|0|56.0|0|0.0|100
0|2022-01-12|3083.0|0|3083.0|0|56.0|0|0.0|100
0|2022-01-13|3083.0|0|3153.0|0|56.0|0|0.0|100
0|2022-01-14|3192.0|0|3192.0|0|56.0|0|0.0|100
0|2022-01-15|3192.0|0|3192.0|0|56.0|0|0.0|100
0|2022-01-16|3192.0|0|3192.0|0|56.0|0|0.0|100
0|2022-01-17|3192.0|0|0.0|100|56.0|0|0.0|100
