|dates|Hampton_Virginia_UnitedStates.JHU_ConfirmedCases.data|Hampton_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Hampton_Virginia_UnitedStates.NYT_ConfirmedCases.data|Hampton_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Hampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Hampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Hampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Hampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-29|16979.0|0|16979.0|0|256.0|0|0.0|100
0|2021-12-30|17229.0|0|17229.0|0|256.0|0|0.0|100
0|2021-12-31|17525.0|0|17525.0|0|256.0|0|0.0|100
0|2022-01-01|17525.0|0|17525.0|0|256.0|0|0.0|100
0|2022-01-02|17525.0|0|17525.0|0|256.0|0|0.0|100
0|2022-01-03|18351.0|0|18351.0|0|257.0|0|0.0|100
0|2022-01-04|18697.0|0|18697.0|0|257.0|0|0.0|100
0|2022-01-05|19012.0|0|19012.0|0|257.0|0|0.0|100
0|2022-01-06|19182.0|0|19182.0|0|257.0|0|0.0|100
0|2022-01-07|19601.0|0|19601.0|0|257.0|0|0.0|100
0|2022-01-08|19601.0|0|19601.0|0|257.0|0|0.0|100
0|2022-01-09|19601.0|0|19601.0|0|257.0|0|0.0|100
0|2022-01-10|21178.0|0|21178.0|0|257.0|0|0.0|100
0|2022-01-11|21518.0|0|21518.0|0|257.0|0|0.0|100
0|2022-01-12|21951.0|0|21951.0|0|258.0|0|0.0|100
0|2022-01-13|21951.0|0|22337.0|0|258.0|0|0.0|100
0|2022-01-14|22659.0|0|22659.0|0|258.0|0|0.0|100
0|2022-01-15|22659.0|0|22659.0|0|258.0|0|0.0|100
0|2022-01-16|22659.0|0|22659.0|0|258.0|0|0.0|100
0|2022-01-17|23679.0|0|0.0|100|258.0|0|0.0|100
