|dates|Sheridan_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sheridan_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sheridan_Montana_UnitedStates.Male_Total_Population.data|Sheridan_Montana_UnitedStates.Male_Total_Population.missing|Sheridan_Montana_UnitedStates.Female_Total_Population.data|Sheridan_Montana_UnitedStates.Female_Total_Population.missing|Sheridan_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Sheridan_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-16|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-17|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-18|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-19|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-20|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-21|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-22|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-23|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-24|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-25|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-26|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-27|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-28|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-29|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-30|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-01|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-02|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-03|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-04|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-05|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-06|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-07|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-08|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-09|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-10|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-11|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-12|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-13|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-14|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-15|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-16|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-17|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-18|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-19|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-20|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-21|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-22|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-23|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-24|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-25|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-26|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-27|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-28|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-29|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-30|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-12-31|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-01|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-02|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-03|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-04|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-05|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-06|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-07|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-08|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-09|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-10|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-11|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-12|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-13|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-14|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-15|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-16|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2022-01-17|774.0|0|1735.0|0|1689.0|0|698.0|0
