|dates|Davis_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Davis_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Davis_Utah_UnitedStates.Male_Total_Population.data|Davis_Utah_UnitedStates.Male_Total_Population.missing|Davis_Utah_UnitedStates.Female_Total_Population.data|Davis_Utah_UnitedStates.Female_Total_Population.missing|Davis_Utah_UnitedStates.MaleAndFemale_Under18_Population.data|Davis_Utah_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-11|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-12|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-13|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-14|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-15|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-16|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-17|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-18|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-19|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-20|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-21|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-22|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-23|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-24|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-25|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-26|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-27|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-28|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-29|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-30|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-01|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-02|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-03|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-04|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-05|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-06|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-07|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-08|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-09|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-10|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-11|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-12|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-13|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-14|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-15|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-16|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-17|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-18|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-19|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-20|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-21|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-22|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-23|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-24|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-25|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-26|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-27|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-28|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-29|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-30|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-12-31|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-01|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-02|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-03|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-04|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-05|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-06|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-07|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-08|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-09|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-10|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-11|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-12|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-13|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-14|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-15|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-16|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2022-01-17|35317.0|0|177609.0|0|174104.0|0|112970.0|0
