|dates|Kaufman_Texas_UnitedStates.BLS_EmployedPopulation.data|Kaufman_Texas_UnitedStates.BLS_EmployedPopulation.missing|Kaufman_Texas_UnitedStates.BLS_UnemployedPopulation.data|Kaufman_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Kaufman_Texas_UnitedStates.BLS_UnemploymentRate.data|Kaufman_Texas_UnitedStates.BLS_UnemploymentRate.missing|Kaufman_Texas_UnitedStates.BLS_LaborForcePopulation.data|Kaufman_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2022-01-02|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-03|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-04|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-05|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-06|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-07|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-08|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-09|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-10|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-11|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-12|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-13|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-14|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-15|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-16|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-17|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
