|dates|Ector_Texas_UnitedStates.JHU_ConfirmedCases.data|Ector_Texas_UnitedStates.JHU_ConfirmedCases.missing|Ector_Texas_UnitedStates.NYT_ConfirmedCases.data|Ector_Texas_UnitedStates.NYT_ConfirmedCases.missing|Ector_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Ector_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Ector_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Ector_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-02|26605.0|0|26605.0|0|555.0|0|0.0|100
0|2021-12-03|26656.0|0|26656.0|0|555.0|0|0.0|100
0|2021-12-04|26713.0|0|26713.0|0|555.0|0|0.0|100
0|2021-12-05|26739.0|0|26739.0|0|555.0|0|0.0|100
0|2021-12-06|26763.0|0|26763.0|0|555.0|0|0.0|100
0|2021-12-07|26823.0|0|26823.0|0|556.0|0|0.0|100
0|2021-12-08|26867.0|0|26867.0|0|559.0|0|0.0|100
0|2021-12-09|26924.0|0|26924.0|0|560.0|0|0.0|100
0|2021-12-10|27211.0|0|27211.0|0|560.0|0|0.0|100
0|2021-12-11|27258.0|0|27258.0|0|561.0|0|0.0|100
0|2021-12-12|27276.0|0|27276.0|0|561.0|0|0.0|100
0|2021-12-13|27318.0|0|27318.0|0|561.0|0|0.0|100
0|2021-12-14|27318.0|0|27366.0|0|561.0|0|0.0|100
0|2021-12-15|27438.0|0|27438.0|0|562.0|0|0.0|100
0|2021-12-16|27490.0|0|27490.0|0|563.0|0|0.0|100
0|2021-12-17|27531.0|0|27531.0|0|563.0|0|0.0|100
0|2021-12-18|27557.0|0|27557.0|0|564.0|0|0.0|100
0|2021-12-19|27597.0|0|27597.0|0|564.0|0|0.0|100
0|2021-12-20|27607.0|0|27607.0|0|564.0|0|0.0|100
0|2021-12-21|27696.0|0|27696.0|0|565.0|0|0.0|100
0|2021-12-22|27721.0|0|27721.0|0|567.0|0|0.0|100
0|2021-12-23|27774.0|0|27774.0|0|569.0|0|0.0|100
0|2021-12-24|27774.0|0|27774.0|0|569.0|0|0.0|100
0|2021-12-25|27774.0|0|27774.0|0|569.0|0|0.0|100
0|2021-12-26|27774.0|0|27774.0|0|569.0|0|0.0|100
0|2021-12-27|27925.0|0|27925.0|0|571.0|0|0.0|100
0|2021-12-28|27950.0|0|27950.0|0|571.0|0|0.0|100
0|2021-12-29|27984.0|0|27984.0|0|571.0|0|0.0|100
0|2021-12-30|28114.0|0|28114.0|0|571.0|0|0.0|100
0|2021-12-31|28114.0|0|28114.0|0|571.0|0|0.0|100
0|2022-01-01|28114.0|0|28114.0|0|571.0|0|0.0|100
0|2022-01-02|28114.0|0|28114.0|0|571.0|0|0.0|100
0|2022-01-03|28622.0|0|28622.0|0|575.0|0|0.0|100
0|2022-01-04|28882.0|0|28882.0|0|577.0|0|0.0|100
0|2022-01-05|29050.0|0|29050.0|0|577.0|0|0.0|100
0|2022-01-06|29235.0|0|29235.0|0|577.0|0|0.0|100
0|2022-01-07|29589.0|0|29589.0|0|577.0|0|0.0|100
0|2022-01-08|29882.0|0|29882.0|0|578.0|0|0.0|100
0|2022-01-09|30143.0|0|30143.0|0|579.0|0|0.0|100
0|2022-01-10|30415.0|0|30415.0|0|579.0|0|0.0|100
0|2022-01-11|30625.0|0|30625.0|0|579.0|0|0.0|100
0|2022-01-12|31023.0|0|31023.0|0|582.0|0|0.0|100
0|2022-01-13|31023.0|0|31445.0|0|582.0|0|0.0|100
0|2022-01-14|31445.0|0|31678.0|0|582.0|0|0.0|100
0|2022-01-15|32012.0|0|32012.0|0|582.0|0|0.0|100
0|2022-01-16|32012.0|0|32332.0|0|585.0|0|0.0|100
0|2022-01-17|32705.0|0|0.0|100|585.0|0|0.0|100
