|dates|Carson_Texas_UnitedStates.JHU_ConfirmedCases.data|Carson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Carson_Texas_UnitedStates.NYT_ConfirmedCases.data|Carson_Texas_UnitedStates.NYT_ConfirmedCases.missing|Carson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Carson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Carson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Carson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-06|862.0|0|862.0|0|26.0|0|0.0|100
0|2021-12-07|863.0|0|863.0|0|26.0|0|0.0|100
0|2021-12-08|868.0|0|868.0|0|26.0|0|0.0|100
0|2021-12-09|870.0|0|870.0|0|28.0|0|0.0|100
0|2021-12-10|876.0|0|876.0|0|28.0|0|0.0|100
0|2021-12-11|877.0|0|877.0|0|28.0|0|0.0|100
0|2021-12-12|878.0|0|878.0|0|28.0|0|0.0|100
0|2021-12-13|878.0|0|878.0|0|28.0|0|0.0|100
0|2021-12-14|878.0|0|879.0|0|28.0|0|0.0|100
0|2021-12-15|881.0|0|881.0|0|28.0|0|0.0|100
0|2021-12-16|881.0|0|881.0|0|28.0|0|0.0|100
0|2021-12-17|889.0|0|889.0|0|28.0|0|0.0|100
0|2021-12-18|895.0|0|895.0|0|28.0|0|0.0|100
0|2021-12-19|896.0|0|896.0|0|28.0|0|0.0|100
0|2021-12-20|899.0|0|899.0|0|28.0|0|0.0|100
0|2021-12-21|901.0|0|901.0|0|28.0|0|0.0|100
0|2021-12-22|904.0|0|904.0|0|29.0|0|0.0|100
0|2021-12-23|910.0|0|910.0|0|29.0|0|0.0|100
0|2021-12-24|910.0|0|910.0|0|29.0|0|0.0|100
0|2021-12-25|910.0|0|910.0|0|29.0|0|0.0|100
0|2021-12-26|910.0|0|910.0|0|29.0|0|0.0|100
0|2021-12-27|925.0|0|925.0|0|29.0|0|0.0|100
0|2021-12-28|926.0|0|926.0|0|29.0|0|0.0|100
0|2021-12-29|929.0|0|929.0|0|29.0|0|0.0|100
0|2021-12-30|932.0|0|932.0|0|29.0|0|0.0|100
0|2021-12-31|932.0|0|932.0|0|29.0|0|0.0|100
0|2022-01-01|932.0|0|932.0|0|29.0|0|0.0|100
0|2022-01-02|932.0|0|932.0|0|29.0|0|0.0|100
0|2022-01-03|947.0|0|947.0|0|29.0|0|0.0|100
0|2022-01-04|956.0|0|956.0|0|29.0|0|0.0|100
0|2022-01-05|962.0|0|962.0|0|29.0|0|0.0|100
0|2022-01-06|965.0|0|965.0|0|29.0|0|0.0|100
0|2022-01-07|974.0|0|974.0|0|29.0|0|0.0|100
0|2022-01-08|981.0|0|981.0|0|29.0|0|0.0|100
0|2022-01-09|983.0|0|983.0|0|29.0|0|0.0|100
0|2022-01-10|984.0|0|984.0|0|29.0|0|0.0|100
0|2022-01-11|991.0|0|991.0|0|30.0|0|0.0|100
0|2022-01-12|1008.0|0|1008.0|0|30.0|0|0.0|100
0|2022-01-13|1008.0|0|1016.0|0|30.0|0|0.0|100
0|2022-01-14|1016.0|0|1294.0|0|30.0|0|0.0|100
0|2022-01-15|1299.0|0|1299.0|0|30.0|0|0.0|100
0|2022-01-16|1303.0|0|1303.0|0|30.0|0|0.0|100
0|2022-01-17|1306.0|0|0.0|100|30.0|0|0.0|100
