|dates|Pinal_Arizona_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pinal_Arizona_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pinal_Arizona_UnitedStates.Male_Total_Population.data|Pinal_Arizona_UnitedStates.Male_Total_Population.missing|Pinal_Arizona_UnitedStates.Female_Total_Population.data|Pinal_Arizona_UnitedStates.Female_Total_Population.missing|Pinal_Arizona_UnitedStates.MaleAndFemale_Under18_Population.data|Pinal_Arizona_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-10|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-11|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-12|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-13|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-14|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-15|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-16|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-17|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-18|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-19|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-20|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-21|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-22|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-23|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-24|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-25|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-26|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-27|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-28|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-29|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-30|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-01|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-02|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-03|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-04|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-05|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-06|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-07|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-08|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-09|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-10|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-11|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-12|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-13|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-14|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-15|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-16|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-17|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-18|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-19|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-20|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-21|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-22|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-23|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-24|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-25|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-26|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-27|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-28|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-29|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-30|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-12-31|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-01|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-02|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-03|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-04|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-05|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-06|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-07|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-08|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-09|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-10|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-11|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-12|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-13|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-14|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-15|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-16|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2022-01-17|91129.0|0|232917.0|0|214221.0|0|100778.0|0
