|dates|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Stanley_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Stanley_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Stanley_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-08|497.0|0|497.0|0|3.0|0|0.0|100
0|2021-12-09|500.0|0|500.0|0|3.0|0|0.0|100
0|2021-12-10|501.0|0|501.0|0|3.0|0|0.0|100
0|2021-12-11|501.0|0|501.0|0|3.0|0|0.0|100
0|2021-12-12|501.0|0|501.0|0|3.0|0|0.0|100
0|2021-12-13|502.0|0|502.0|0|3.0|0|0.0|100
0|2021-12-14|502.0|0|506.0|0|3.0|0|0.0|100
0|2021-12-15|509.0|0|509.0|0|3.0|0|0.0|100
0|2021-12-16|514.0|0|514.0|0|3.0|0|0.0|100
0|2021-12-17|515.0|0|515.0|0|3.0|0|0.0|100
0|2021-12-18|515.0|0|515.0|0|3.0|0|0.0|100
0|2021-12-19|515.0|0|515.0|0|3.0|0|0.0|100
0|2021-12-20|514.0|0|514.0|0|3.0|0|0.0|100
0|2021-12-21|516.0|0|516.0|0|3.0|0|0.0|100
0|2021-12-22|516.0|0|516.0|0|3.0|0|0.0|100
0|2021-12-23|517.0|0|517.0|0|3.0|0|0.0|100
0|2021-12-24|517.0|0|517.0|0|3.0|0|0.0|100
0|2021-12-25|517.0|0|517.0|0|3.0|0|0.0|100
0|2021-12-26|517.0|0|517.0|0|3.0|0|0.0|100
0|2021-12-27|519.0|0|519.0|0|3.0|0|0.0|100
0|2021-12-28|520.0|0|520.0|0|3.0|0|0.0|100
0|2021-12-29|521.0|0|521.0|0|3.0|0|0.0|100
0|2021-12-30|521.0|0|521.0|0|3.0|0|0.0|100
0|2021-12-31|521.0|0|521.0|0|3.0|0|0.0|100
0|2022-01-01|521.0|0|521.0|0|3.0|0|0.0|100
0|2022-01-02|521.0|0|521.0|0|3.0|0|0.0|100
0|2022-01-03|523.0|0|523.0|0|3.0|0|0.0|100
0|2022-01-04|529.0|0|529.0|0|3.0|0|0.0|100
0|2022-01-05|536.0|0|536.0|0|3.0|0|0.0|100
0|2022-01-06|540.0|0|540.0|0|3.0|0|0.0|100
0|2022-01-07|546.0|0|546.0|0|3.0|0|0.0|100
0|2022-01-08|546.0|0|546.0|0|3.0|0|0.0|100
0|2022-01-09|546.0|0|546.0|0|3.0|0|0.0|100
0|2022-01-10|547.0|0|547.0|0|3.0|0|0.0|100
0|2022-01-11|553.0|0|553.0|0|3.0|0|0.0|100
0|2022-01-12|559.0|0|559.0|0|4.0|0|0.0|100
0|2022-01-13|559.0|0|567.0|0|4.0|0|0.0|100
0|2022-01-14|567.0|0|571.0|0|4.0|0|0.0|100
0|2022-01-15|571.0|0|571.0|0|5.0|0|0.0|100
0|2022-01-16|571.0|0|571.0|0|5.0|0|0.0|100
0|2022-01-17|571.0|0|0.0|100|5.0|0|0.0|100
