|dates|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Mingo_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Mingo_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-27|5270.0|0|5270.0|0|97.0|0|0.0|100
0|2021-12-28|5290.0|0|5290.0|0|98.0|0|0.0|100
0|2021-12-29|5331.0|0|5331.0|0|98.0|0|0.0|100
0|2021-12-30|5389.0|0|5389.0|0|98.0|0|0.0|100
0|2021-12-31|5389.0|0|5389.0|0|98.0|0|0.0|100
0|2022-01-01|5389.0|0|5389.0|0|98.0|0|0.0|100
0|2022-01-02|5389.0|0|5389.0|0|98.0|0|0.0|100
0|2022-01-03|5432.0|0|5432.0|0|99.0|0|0.0|100
0|2022-01-04|5448.0|0|5448.0|0|99.0|0|0.0|100
0|2022-01-05|5464.0|0|5464.0|0|99.0|0|0.0|100
0|2022-01-06|5505.0|0|5505.0|0|99.0|0|0.0|100
0|2022-01-07|5533.0|0|5533.0|0|101.0|0|0.0|100
0|2022-01-08|5551.0|0|5551.0|0|101.0|0|0.0|100
0|2022-01-09|5570.0|0|5570.0|0|101.0|0|0.0|100
0|2022-01-10|5588.0|0|5588.0|0|101.0|0|0.0|100
0|2022-01-11|5639.0|0|5639.0|0|101.0|0|0.0|100
0|2022-01-12|5674.0|0|5674.0|0|102.0|0|0.0|100
0|2022-01-13|5674.0|0|5729.0|0|102.0|0|0.0|100
0|2022-01-14|5798.0|0|5798.0|0|102.0|0|0.0|100
0|2022-01-15|5851.0|0|5851.0|0|102.0|0|0.0|100
0|2022-01-16|5873.0|0|5873.0|0|102.0|0|0.0|100
0|2022-01-17|5925.0|0|0.0|100|103.0|0|0.0|100
