|dates|Graham_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Graham_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Graham_Kansas_UnitedStates.Male_Total_Population.data|Graham_Kansas_UnitedStates.Male_Total_Population.missing|Graham_Kansas_UnitedStates.Female_Total_Population.data|Graham_Kansas_UnitedStates.Female_Total_Population.missing|Graham_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Graham_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-08|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-09|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-10|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-11|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-12|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-13|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-14|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-15|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-16|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-17|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-18|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-19|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-20|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-21|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-22|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-23|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-24|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-25|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-26|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-27|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-28|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-29|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-30|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-01|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-02|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-03|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-04|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-05|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-06|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-07|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-08|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-09|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-10|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-11|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-12|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-13|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-14|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-15|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-16|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-17|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-18|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-19|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-20|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-21|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-22|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-23|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-24|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-25|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-26|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-27|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-28|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-29|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-30|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-12-31|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-01|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-02|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-03|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-04|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-05|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-06|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-07|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-08|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-09|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-10|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-11|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-12|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-13|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-14|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-15|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-16|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2022-01-17|684.0|0|1236.0|0|1256.0|0|484.0|0
