|dates|Donley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Donley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Donley_Texas_UnitedStates.Male_Total_Population.data|Donley_Texas_UnitedStates.Male_Total_Population.missing|Donley_Texas_UnitedStates.Female_Total_Population.data|Donley_Texas_UnitedStates.Female_Total_Population.missing|Donley_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Donley_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-12|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-13|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-14|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-15|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-16|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-17|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-18|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-19|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-20|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-21|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-22|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-23|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-24|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-25|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-26|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-27|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-28|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-29|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-30|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-01|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-02|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-03|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-04|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-05|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-06|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-07|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-08|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-09|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-10|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-11|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-12|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-13|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-14|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-15|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-16|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-17|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-18|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-19|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-20|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-21|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-22|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-23|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-24|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-25|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-26|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-27|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-28|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-29|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-30|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-12-31|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-01|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-02|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-03|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-04|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-05|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-06|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-07|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-08|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-09|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-10|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-11|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-12|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-13|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-14|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-15|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-16|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2022-01-17|796.0|0|1630.0|0|1689.0|0|654.0|0
