|dates|Custer_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Custer_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Custer_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Custer_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Custer_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Custer_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Custer_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Custer_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-17|1423.0|0|1423.0|0|18.0|0|0.0|100
0|2021-11-18|1427.0|0|1427.0|0|18.0|0|0.0|100
0|2021-11-19|1431.0|0|1431.0|0|18.0|0|0.0|100
0|2021-11-20|1431.0|0|1431.0|0|18.0|0|0.0|100
0|2021-11-21|1431.0|0|1431.0|0|18.0|0|0.0|100
0|2021-11-22|1433.0|0|1433.0|0|18.0|0|0.0|100
0|2021-11-23|1439.0|0|1439.0|0|18.0|0|0.0|100
0|2021-11-24|1444.0|0|1444.0|0|18.0|0|0.0|100
0|2021-11-25|1444.0|0|1444.0|0|18.0|0|0.0|100
0|2021-11-26|1444.0|0|1444.0|0|18.0|0|0.0|100
0|2021-11-27|1444.0|0|1444.0|0|18.0|0|0.0|100
0|2021-11-28|1444.0|0|1444.0|0|18.0|0|0.0|100
0|2021-11-29|1448.0|0|1448.0|0|19.0|0|0.0|100
0|2021-11-30|1454.0|0|1454.0|0|19.0|0|0.0|100
0|2021-12-01|1458.0|0|1458.0|0|19.0|0|0.0|100
0|2021-12-02|1458.0|0|1458.0|0|19.0|0|0.0|100
0|2021-12-03|1462.0|0|1462.0|0|19.0|0|0.0|100
0|2021-12-04|1462.0|0|1462.0|0|19.0|0|0.0|100
0|2021-12-05|1462.0|0|1462.0|0|19.0|0|0.0|100
0|2021-12-06|1464.0|0|1464.0|0|19.0|0|0.0|100
0|2021-12-07|1468.0|0|1468.0|0|19.0|0|0.0|100
0|2021-12-08|1471.0|0|1471.0|0|19.0|0|0.0|100
0|2021-12-09|1471.0|0|1471.0|0|19.0|0|0.0|100
0|2021-12-10|1475.0|0|1475.0|0|19.0|0|0.0|100
0|2021-12-11|1475.0|0|1475.0|0|19.0|0|0.0|100
0|2021-12-12|1475.0|0|1475.0|0|19.0|0|0.0|100
0|2021-12-13|1477.0|0|1477.0|0|19.0|0|0.0|100
0|2021-12-14|1477.0|0|1482.0|0|19.0|0|0.0|100
0|2021-12-15|1482.0|0|1482.0|0|19.0|0|0.0|100
0|2021-12-16|1489.0|0|1489.0|0|19.0|0|0.0|100
0|2021-12-17|1490.0|0|1490.0|0|19.0|0|0.0|100
0|2021-12-18|1490.0|0|1490.0|0|19.0|0|0.0|100
0|2021-12-19|1490.0|0|1490.0|0|19.0|0|0.0|100
0|2021-12-20|1491.0|0|1491.0|0|19.0|0|0.0|100
0|2021-12-21|1493.0|0|1493.0|0|19.0|0|0.0|100
0|2021-12-22|1499.0|0|1499.0|0|19.0|0|0.0|100
0|2021-12-23|1503.0|0|1503.0|0|20.0|0|0.0|100
0|2021-12-24|1503.0|0|1503.0|0|20.0|0|0.0|100
0|2021-12-25|1503.0|0|1503.0|0|20.0|0|0.0|100
0|2021-12-26|1503.0|0|1503.0|0|20.0|0|0.0|100
0|2021-12-27|1508.0|0|1508.0|0|20.0|0|0.0|100
0|2021-12-28|1511.0|0|1511.0|0|20.0|0|0.0|100
0|2021-12-29|1522.0|0|1522.0|0|20.0|0|0.0|100
0|2021-12-30|1531.0|0|1531.0|0|20.0|0|0.0|100
0|2021-12-31|1531.0|0|1531.0|0|20.0|0|0.0|100
0|2022-01-01|1531.0|0|1531.0|0|20.0|0|0.0|100
0|2022-01-02|1531.0|0|1531.0|0|20.0|0|0.0|100
0|2022-01-03|1536.0|0|1536.0|0|20.0|0|0.0|100
0|2022-01-04|1560.0|0|1560.0|0|20.0|0|0.0|100
0|2022-01-05|1577.0|0|1577.0|0|20.0|0|0.0|100
0|2022-01-06|1585.0|0|1585.0|0|20.0|0|0.0|100
0|2022-01-07|1596.0|0|1596.0|0|20.0|0|0.0|100
0|2022-01-08|1596.0|0|1596.0|0|20.0|0|0.0|100
0|2022-01-09|1596.0|0|1596.0|0|20.0|0|0.0|100
0|2022-01-10|1604.0|0|1604.0|0|20.0|0|0.0|100
0|2022-01-11|1628.0|0|1628.0|0|20.0|0|0.0|100
0|2022-01-12|1651.0|0|1651.0|0|21.0|0|0.0|100
0|2022-01-13|1651.0|0|1680.0|0|21.0|0|0.0|100
0|2022-01-14|1680.0|0|1701.0|0|21.0|0|0.0|100
0|2022-01-15|1701.0|0|1701.0|0|21.0|0|0.0|100
0|2022-01-16|1701.0|0|1701.0|0|21.0|0|0.0|100
0|2022-01-17|1701.0|0|0.0|100|21.0|0|0.0|100
