|dates|Bedford_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Bedford_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Bedford_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Bedford_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Bedford_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Bedford_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Bedford_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Bedford_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-27|9900.0|0|9900.0|0|200.0|0|0.0|100
0|2021-12-28|9929.0|0|9929.0|0|203.0|0|0.0|100
0|2021-12-29|9979.0|0|9979.0|0|203.0|0|0.0|100
0|2021-12-30|10042.0|0|10042.0|0|204.0|0|0.0|100
0|2021-12-31|10042.0|0|10042.0|0|204.0|0|0.0|100
0|2022-01-01|10042.0|0|10042.0|0|204.0|0|0.0|100
0|2022-01-02|10042.0|0|10042.0|0|204.0|0|0.0|100
0|2022-01-03|10248.0|0|10248.0|0|204.0|0|0.0|100
0|2022-01-04|10298.0|0|10298.0|0|204.0|0|0.0|100
0|2022-01-05|10298.0|0|10298.0|0|204.0|0|0.0|100
0|2022-01-06|10298.0|0|10298.0|0|204.0|0|0.0|100
0|2022-01-07|10298.0|0|10298.0|0|204.0|0|0.0|100
0|2022-01-08|10298.0|0|10298.0|0|204.0|0|0.0|100
0|2022-01-09|10298.0|0|10298.0|0|204.0|0|0.0|100
0|2022-01-10|10298.0|0|10298.0|0|204.0|0|0.0|100
0|2022-01-11|10298.0|0|10298.0|0|204.0|0|0.0|100
0|2022-01-12|10758.0|0|10758.0|0|204.0|0|0.0|100
0|2022-01-13|10758.0|0|10758.0|0|204.0|0|0.0|100
0|2022-01-14|10758.0|0|10758.0|0|204.0|0|0.0|100
0|2022-01-15|10758.0|0|10758.0|0|204.0|0|0.0|100
0|2022-01-16|10758.0|0|10758.0|0|204.0|0|0.0|100
0|2022-01-17|10758.0|0|0.0|100|204.0|0|0.0|100
