|dates|Texas_Missouri_UnitedStates.JHU_ConfirmedCases.data|Texas_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Texas_Missouri_UnitedStates.NYT_ConfirmedCases.data|Texas_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Texas_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Texas_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Texas_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Texas_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-22|3181.0|0|3181.0|0|43.0|0|0.0|100
0|2021-11-23|3192.0|0|3192.0|0|43.0|0|0.0|100
0|2021-11-24|3199.0|0|3199.0|0|43.0|0|0.0|100
0|2021-11-25|3199.0|0|3199.0|0|43.0|0|0.0|100
0|2021-11-26|3199.0|0|3199.0|0|43.0|0|0.0|100
0|2021-11-27|3199.0|0|3199.0|0|43.0|0|0.0|100
0|2021-11-28|3199.0|0|3199.0|0|43.0|0|0.0|100
0|2021-11-29|3228.0|0|3228.0|0|43.0|0|0.0|100
0|2021-11-30|3243.0|0|3243.0|0|44.0|0|0.0|100
0|2021-12-01|3265.0|0|3265.0|0|44.0|0|0.0|100
0|2021-12-02|3286.0|0|3286.0|0|65.0|0|0.0|100
0|2021-12-03|3286.0|0|3286.0|0|65.0|0|0.0|100
0|2021-12-04|3308.0|0|3308.0|0|65.0|0|0.0|100
0|2021-12-05|3317.0|0|3317.0|0|65.0|0|0.0|100
0|2021-12-06|3327.0|0|3327.0|0|65.0|0|0.0|100
0|2021-12-07|3339.0|0|3339.0|0|65.0|0|0.0|100
0|2021-12-08|3371.0|0|3371.0|0|65.0|0|0.0|100
0|2021-12-09|3379.0|0|3379.0|0|65.0|0|0.0|100
0|2021-12-10|3386.0|0|3386.0|0|65.0|0|0.0|100
0|2021-12-11|3404.0|0|3404.0|0|65.0|0|0.0|100
0|2021-12-12|3407.0|0|3407.0|0|66.0|0|0.0|100
0|2021-12-13|3410.0|0|3410.0|0|66.0|0|0.0|100
0|2021-12-14|3410.0|0|3422.0|0|66.0|0|0.0|100
0|2021-12-15|3432.0|0|3432.0|0|68.0|0|0.0|100
0|2021-12-16|3438.0|0|3438.0|0|68.0|0|0.0|100
0|2021-12-17|3448.0|0|3448.0|0|68.0|0|0.0|100
0|2021-12-18|3454.0|0|3454.0|0|69.0|0|0.0|100
0|2021-12-19|3456.0|0|3456.0|0|69.0|0|0.0|100
0|2021-12-20|3456.0|0|3456.0|0|69.0|0|0.0|100
0|2021-12-21|3463.0|0|3463.0|0|70.0|0|0.0|100
0|2021-12-22|3473.0|0|3473.0|0|70.0|0|0.0|100
0|2021-12-23|3490.0|0|3490.0|0|71.0|0|0.0|100
0|2021-12-24|3490.0|0|3490.0|0|71.0|0|0.0|100
0|2021-12-25|3490.0|0|3490.0|0|71.0|0|0.0|100
0|2021-12-26|3490.0|0|3490.0|0|71.0|0|0.0|100
0|2021-12-27|3503.0|0|3503.0|0|71.0|0|0.0|100
0|2021-12-28|3515.0|0|3515.0|0|72.0|0|0.0|100
0|2021-12-29|3523.0|0|3523.0|0|72.0|0|0.0|100
0|2021-12-30|3533.0|0|3533.0|0|73.0|0|0.0|100
0|2021-12-31|3533.0|0|3533.0|0|73.0|0|0.0|100
0|2022-01-01|3533.0|0|3533.0|0|73.0|0|0.0|100
0|2022-01-02|3533.0|0|3533.0|0|73.0|0|0.0|100
0|2022-01-03|3533.0|0|3578.0|0|73.0|0|0.0|100
0|2022-01-04|3599.0|0|3599.0|0|74.0|0|0.0|100
0|2022-01-05|3612.0|0|3612.0|0|74.0|0|0.0|100
0|2022-01-06|3628.0|0|3628.0|0|74.0|0|0.0|100
0|2022-01-07|3646.0|0|3646.0|0|74.0|0|0.0|100
0|2022-01-08|3664.0|0|3664.0|0|74.0|0|0.0|100
0|2022-01-09|3669.0|0|3669.0|0|74.0|0|0.0|100
0|2022-01-10|3676.0|0|3676.0|0|74.0|0|0.0|100
0|2022-01-11|3698.0|0|3698.0|0|76.0|0|0.0|100
0|2022-01-12|3712.0|0|3712.0|0|76.0|0|0.0|100
0|2022-01-13|3712.0|0|3759.0|0|76.0|0|0.0|100
0|2022-01-14|3786.0|0|3786.0|0|76.0|0|0.0|100
0|2022-01-15|3817.0|0|3817.0|0|76.0|0|0.0|100
0|2022-01-16|3817.0|0|3817.0|0|76.0|0|0.0|100
0|2022-01-17|3817.0|0|0.0|100|76.0|0|0.0|100
