|dates|Macoupin_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Macoupin_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Macoupin_Illinois_UnitedStates.Male_Total_Population.data|Macoupin_Illinois_UnitedStates.Male_Total_Population.missing|Macoupin_Illinois_UnitedStates.Female_Total_Population.data|Macoupin_Illinois_UnitedStates.Female_Total_Population.missing|Macoupin_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Macoupin_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-10|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-11|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-12|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-13|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-14|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-15|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-16|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-17|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-18|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-19|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-20|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-21|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-22|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-23|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-24|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-25|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-26|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-27|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-28|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-29|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-30|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-31|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-01|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-02|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-03|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-04|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-05|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-06|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-07|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-08|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-09|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-10|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-11|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-12|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-13|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-14|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-15|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-16|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2022-01-17|9006.0|0|22409.0|0|22904.0|0|9644.0|0
