|dates|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Cumberland_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Cumberland_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-07|39281.0|0|39281.0|0|740.0|0|0.0|100
0|2022-01-08|39720.0|0|39720.0|0|743.0|0|0.0|100
0|2022-01-09|40114.0|0|40114.0|0|743.0|0|0.0|100
0|2022-01-10|40593.0|0|40593.0|0|743.0|0|0.0|100
0|2022-01-11|41013.0|0|41013.0|0|745.0|0|0.0|100
0|2022-01-12|41415.0|0|41415.0|0|750.0|0|0.0|100
0|2022-01-13|41415.0|0|41885.0|0|750.0|0|0.0|100
0|2022-01-14|42355.0|0|42355.0|0|755.0|0|0.0|100
0|2022-01-15|42842.0|0|42842.0|0|755.0|0|0.0|100
0|2022-01-16|43561.0|0|43561.0|0|756.0|0|0.0|100
0|2022-01-17|43950.0|0|0.0|100|756.0|0|0.0|100
