|dates|Essex_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Essex_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Essex_Massachusetts_UnitedStates.Male_Total_Population.data|Essex_Massachusetts_UnitedStates.Male_Total_Population.missing|Essex_Massachusetts_UnitedStates.Female_Total_Population.data|Essex_Massachusetts_UnitedStates.Female_Total_Population.missing|Essex_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.data|Essex_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-01|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-02|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-03|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-04|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-05|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-06|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-07|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-08|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-09|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-10|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-11|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-12|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-13|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-14|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-15|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-16|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2022-01-17|134796.0|0|381264.0|0|409374.0|0|168488.0|0
