|dates|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedCases.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|St.Francis_Arkansas_UnitedStates.NYT_ConfirmedCases.data|St.Francis_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-22|4975.0|0|4975.0|0|72.0|0|0.0|100
0|2021-12-23|4986.0|0|4986.0|0|72.0|0|0.0|100
0|2021-12-24|4992.0|0|4992.0|0|72.0|0|0.0|100
0|2021-12-25|4998.0|0|4998.0|0|72.0|0|0.0|100
0|2021-12-26|5000.0|0|5000.0|0|72.0|0|0.0|100
0|2021-12-27|5008.0|0|5008.0|0|72.0|0|0.0|100
0|2021-12-28|5025.0|0|5025.0|0|72.0|0|0.0|100
0|2021-12-29|5055.0|0|5055.0|0|72.0|0|0.0|100
0|2021-12-30|5148.0|0|5148.0|0|72.0|0|0.0|100
0|2021-12-31|5175.0|0|5175.0|0|73.0|0|0.0|100
0|2022-01-01|5196.0|0|5196.0|0|73.0|0|0.0|100
0|2022-01-02|5231.0|0|5231.0|0|73.0|0|0.0|100
0|2022-01-03|5252.0|0|5252.0|0|73.0|0|0.0|100
0|2022-01-04|5334.0|0|5334.0|0|73.0|0|0.0|100
0|2022-01-05|5388.0|0|5388.0|0|73.0|0|0.0|100
0|2022-01-06|5495.0|0|5495.0|0|74.0|0|0.0|100
0|2022-01-07|5549.0|0|5549.0|0|74.0|0|0.0|100
0|2022-01-08|5655.0|0|5655.0|0|74.0|0|0.0|100
0|2022-01-09|5655.0|0|5655.0|0|74.0|0|0.0|100
0|2022-01-10|5711.0|0|5711.0|0|74.0|0|0.0|100
0|2022-01-11|5781.0|0|5781.0|0|74.0|0|0.0|100
0|2022-01-12|5853.0|0|5853.0|0|74.0|0|0.0|100
0|2022-01-13|5853.0|0|5933.0|0|74.0|0|0.0|100
0|2022-01-14|6006.0|0|6006.0|0|74.0|0|0.0|100
0|2022-01-15|6076.0|0|6076.0|0|74.0|0|0.0|100
0|2022-01-16|6128.0|0|6128.0|0|74.0|0|0.0|100
0|2022-01-17|6165.0|0|0.0|100|74.0|0|0.0|100
