|dates|Rockdale_Georgia_UnitedStates.JHU_ConfirmedCases.data|Rockdale_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Rockdale_Georgia_UnitedStates.NYT_ConfirmedCases.data|Rockdale_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Rockdale_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Rockdale_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Rockdale_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Rockdale_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-11|11499.0|0|11517.0|0|241.0|0|0.0|100
0|2021-11-12|11522.0|0|11540.0|0|243.0|0|0.0|100
0|2021-11-13|11522.0|0|11540.0|0|243.0|0|0.0|100
0|2021-11-14|11522.0|0|11540.0|0|243.0|0|0.0|100
0|2021-11-15|11541.0|0|11560.0|0|243.0|0|0.0|100
0|2021-11-16|11552.0|0|11571.0|0|243.0|0|0.0|100
0|2021-11-17|11560.0|0|11579.0|0|243.0|0|0.0|100
0|2021-11-18|11566.0|0|11585.0|0|244.0|0|0.0|100
0|2021-11-19|11582.0|0|11601.0|0|244.0|0|0.0|100
0|2021-11-20|11582.0|0|11601.0|0|244.0|0|0.0|100
0|2021-11-21|11582.0|0|11601.0|0|244.0|0|0.0|100
0|2021-11-22|11621.0|0|11640.0|0|245.0|0|0.0|100
0|2021-11-23|11629.0|0|11648.0|0|246.0|0|0.0|100
0|2021-11-24|11644.0|0|11663.0|0|246.0|0|0.0|100
0|2021-11-25|11644.0|0|11663.0|0|246.0|0|0.0|100
0|2021-11-26|11644.0|0|11663.0|0|246.0|0|0.0|100
0|2021-11-27|11644.0|0|11663.0|0|246.0|0|0.0|100
0|2021-11-28|11644.0|0|11663.0|0|246.0|0|0.0|100
0|2021-11-29|11676.0|0|11695.0|0|247.0|0|0.0|100
0|2021-11-30|11688.0|0|11707.0|0|247.0|0|0.0|100
0|2021-12-01|11695.0|0|11714.0|0|248.0|0|0.0|100
0|2021-12-02|11695.0|0|11731.0|0|248.0|0|0.0|100
0|2021-12-03|11718.0|0|11737.0|0|248.0|0|0.0|100
0|2021-12-04|11718.0|0|11737.0|0|248.0|0|0.0|100
0|2021-12-05|11718.0|0|11737.0|0|248.0|0|0.0|100
0|2021-12-06|11756.0|0|11776.0|0|248.0|0|0.0|100
0|2021-12-07|11768.0|0|11788.0|0|249.0|0|0.0|100
0|2021-12-08|11783.0|0|11803.0|0|249.0|0|0.0|100
0|2021-12-09|11794.0|0|11814.0|0|250.0|0|0.0|100
0|2021-12-10|11812.0|0|11832.0|0|250.0|0|0.0|100
0|2021-12-11|11812.0|0|11832.0|0|250.0|0|0.0|100
0|2021-12-12|11812.0|0|11832.0|0|250.0|0|0.0|100
0|2021-12-13|11856.0|0|11876.0|0|250.0|0|0.0|100
0|2021-12-14|11856.0|0|11890.0|0|250.0|0|0.0|100
0|2021-12-15|11899.0|0|11919.0|0|252.0|0|0.0|100
0|2021-12-16|11916.0|0|11936.0|0|252.0|0|0.0|100
0|2021-12-17|11950.0|0|11970.0|0|255.0|0|0.0|100
0|2021-12-18|11950.0|0|11970.0|0|255.0|0|0.0|100
0|2021-12-19|11950.0|0|11970.0|0|255.0|0|0.0|100
0|2021-12-20|12115.0|0|12134.0|0|255.0|0|0.0|100
0|2021-12-21|12218.0|0|12237.0|0|256.0|0|0.0|100
0|2021-12-22|12307.0|0|12326.0|0|261.0|0|0.0|100
0|2021-12-23|12465.0|0|12484.0|0|262.0|0|0.0|100
0|2021-12-24|12623.0|0|12642.0|0|263.0|0|0.0|100
0|2021-12-25|12623.0|0|12642.0|0|263.0|0|0.0|100
0|2021-12-26|12623.0|0|12642.0|0|263.0|0|0.0|100
0|2021-12-27|13071.0|0|13091.0|0|263.0|0|0.0|100
0|2021-12-28|13250.0|0|13270.0|0|263.0|0|0.0|100
0|2021-12-29|13435.0|0|13455.0|0|264.0|0|0.0|100
0|2021-12-30|13679.0|0|13699.0|0|264.0|0|0.0|100
0|2021-12-31|13914.0|0|13934.0|0|264.0|0|0.0|100
0|2022-01-01|13914.0|0|13934.0|0|264.0|0|0.0|100
0|2022-01-02|13914.0|0|13934.0|0|264.0|0|0.0|100
0|2022-01-03|13914.0|0|13934.0|0|264.0|0|0.0|100
0|2022-01-04|14578.0|0|14598.0|0|264.0|0|0.0|100
0|2022-01-05|14759.0|0|14779.0|0|265.0|0|0.0|100
0|2022-01-06|14759.0|0|14779.0|0|265.0|0|0.0|100
0|2022-01-07|14759.0|0|14779.0|0|265.0|0|0.0|100
0|2022-01-08|14759.0|0|14779.0|0|265.0|0|0.0|100
0|2022-01-09|14759.0|0|14779.0|0|265.0|0|0.0|100
0|2022-01-10|15726.0|0|15746.0|0|268.0|0|0.0|100
0|2022-01-11|15893.0|0|15913.0|0|268.0|0|0.0|100
0|2022-01-12|15967.0|0|15987.0|0|268.0|0|0.0|100
0|2022-01-13|15967.0|0|16096.0|0|268.0|0|0.0|100
0|2022-01-14|16177.0|0|16197.0|0|271.0|0|0.0|100
0|2022-01-15|16177.0|0|16197.0|0|271.0|0|0.0|100
0|2022-01-16|16177.0|0|16197.0|0|271.0|0|0.0|100
0|2022-01-17|16492.0|0|0.0|100|272.0|0|0.0|100
