|dates|Kidder_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kidder_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kidder_NorthDakota_UnitedStates.Male_Total_Population.data|Kidder_NorthDakota_UnitedStates.Male_Total_Population.missing|Kidder_NorthDakota_UnitedStates.Female_Total_Population.data|Kidder_NorthDakota_UnitedStates.Female_Total_Population.missing|Kidder_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Kidder_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-10|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-11|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-12|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-13|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-14|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-15|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-16|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-17|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-18|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-19|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-20|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-21|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-22|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-23|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-24|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-25|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-26|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-27|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-28|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-29|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-11-30|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-01|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-02|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-03|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-04|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-05|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-06|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-07|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-08|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-09|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-10|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-11|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-12|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-13|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-14|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-15|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-16|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-17|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-18|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-19|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-20|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-21|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-22|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-23|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-24|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-25|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-26|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-27|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-28|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-29|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-30|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2021-12-31|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-01|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-02|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-03|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-04|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-05|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-06|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-07|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-08|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-09|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-10|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-11|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-12|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-13|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-14|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-15|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-16|600.0|0|1268.0|0|1182.0|0|516.0|0
0|2022-01-17|600.0|0|1268.0|0|1182.0|0|516.0|0
