|dates|Blair_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Blair_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Blair_Pennsylvania_UnitedStates.Male_Total_Population.data|Blair_Pennsylvania_UnitedStates.Male_Total_Population.missing|Blair_Pennsylvania_UnitedStates.Female_Total_Population.data|Blair_Pennsylvania_UnitedStates.Female_Total_Population.missing|Blair_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Blair_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-09|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-10|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-11|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-12|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-13|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-14|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-15|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-16|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-17|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-18|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-19|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-20|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-21|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-22|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-23|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-24|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-25|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-26|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-27|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-28|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-29|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-30|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-31|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-01|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-02|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-03|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-04|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-05|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-06|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-07|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-08|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-09|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-10|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-11|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-12|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-13|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-14|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-15|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-16|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2022-01-17|25445.0|0|59979.0|0|62513.0|0|25017.0|0
