|dates|Jennings_Indiana_UnitedStates.JHU_ConfirmedCases.data|Jennings_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Jennings_Indiana_UnitedStates.NYT_ConfirmedCases.data|Jennings_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Jennings_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Jennings_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Jennings_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Jennings_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-20|4251.0|0|4256.0|0|66.0|0|0.0|100
0|2021-11-21|4251.0|0|4256.0|0|66.0|0|0.0|100
0|2021-11-22|4313.0|0|4318.0|0|66.0|0|0.0|100
0|2021-11-23|4331.0|0|4336.0|0|66.0|0|0.0|100
0|2021-11-24|4346.0|0|4351.0|0|66.0|0|0.0|100
0|2021-11-25|4346.0|0|4351.0|0|66.0|0|0.0|100
0|2021-11-26|4346.0|0|4351.0|0|66.0|0|0.0|100
0|2021-11-27|4346.0|0|4351.0|0|66.0|0|0.0|100
0|2021-11-28|4346.0|0|4351.0|0|66.0|0|0.0|100
0|2021-11-29|4396.0|0|4401.0|0|66.0|0|0.0|100
0|2021-11-30|4417.0|0|4422.0|0|66.0|0|0.0|100
0|2021-12-01|4457.0|0|4462.0|0|67.0|0|0.0|100
0|2021-12-02|4457.0|0|4493.0|0|67.0|0|0.0|100
0|2021-12-03|4520.0|0|4525.0|0|67.0|0|0.0|100
0|2021-12-04|4520.0|0|4525.0|0|67.0|0|0.0|100
0|2021-12-05|4520.0|0|4525.0|0|67.0|0|0.0|100
0|2021-12-06|4571.0|0|4576.0|0|67.0|0|0.0|100
0|2021-12-07|4589.0|0|4594.0|0|67.0|0|0.0|100
0|2021-12-08|4626.0|0|4631.0|0|67.0|0|0.0|100
0|2021-12-09|4645.0|0|4650.0|0|67.0|0|0.0|100
0|2021-12-10|4659.0|0|4664.0|0|67.0|0|0.0|100
0|2021-12-11|4659.0|0|4664.0|0|67.0|0|0.0|100
0|2021-12-12|4659.0|0|4664.0|0|67.0|0|0.0|100
0|2021-12-13|4728.0|0|4733.0|0|67.0|0|0.0|100
0|2021-12-14|4728.0|0|4755.0|0|67.0|0|0.0|100
0|2021-12-15|4778.0|0|4783.0|0|67.0|0|0.0|100
0|2021-12-16|4800.0|0|4805.0|0|68.0|0|0.0|100
0|2021-12-17|4822.0|0|4827.0|0|68.0|0|0.0|100
0|2021-12-18|4822.0|0|4827.0|0|68.0|0|0.0|100
0|2021-12-19|4822.0|0|4827.0|0|68.0|0|0.0|100
0|2021-12-20|4862.0|0|4869.0|0|68.0|0|0.0|100
0|2021-12-21|4886.0|0|4893.0|0|68.0|0|0.0|100
0|2021-12-22|4902.0|0|4909.0|0|69.0|0|0.0|100
0|2021-12-23|4902.0|0|4909.0|0|69.0|0|0.0|100
0|2021-12-24|4902.0|0|4909.0|0|69.0|0|0.0|100
0|2021-12-25|4902.0|0|4909.0|0|69.0|0|0.0|100
0|2021-12-26|4902.0|0|4909.0|0|69.0|0|0.0|100
0|2021-12-27|4951.0|0|4958.0|0|69.0|0|0.0|100
0|2021-12-28|4976.0|0|4983.0|0|70.0|0|0.0|100
0|2021-12-29|5006.0|0|5013.0|0|70.0|0|0.0|100
0|2021-12-30|5032.0|0|5039.0|0|70.0|0|0.0|100
0|2021-12-31|5032.0|0|5039.0|0|70.0|0|0.0|100
0|2022-01-01|5032.0|0|5039.0|0|70.0|0|0.0|100
0|2022-01-02|5032.0|0|5039.0|0|70.0|0|0.0|100
0|2022-01-03|5080.0|0|5087.0|0|70.0|0|0.0|100
0|2022-01-04|5104.0|0|5111.0|0|70.0|0|0.0|100
0|2022-01-05|5168.0|0|5175.0|0|70.0|0|0.0|100
0|2022-01-06|5221.0|0|5228.0|0|70.0|0|0.0|100
0|2022-01-07|5261.0|0|5268.0|0|71.0|0|0.0|100
0|2022-01-08|5261.0|0|5268.0|0|71.0|0|0.0|100
0|2022-01-09|5261.0|0|5268.0|0|71.0|0|0.0|100
0|2022-01-10|5351.0|0|5359.0|0|71.0|0|0.0|100
0|2022-01-11|5404.0|0|5412.0|0|72.0|0|0.0|100
0|2022-01-12|5462.0|0|5470.0|0|74.0|0|0.0|100
0|2022-01-13|5462.0|0|5534.0|0|74.0|0|0.0|100
0|2022-01-14|5588.0|0|5596.0|0|76.0|0|0.0|100
0|2022-01-15|5588.0|0|5596.0|0|76.0|0|0.0|100
0|2022-01-16|5588.0|0|5596.0|0|76.0|0|0.0|100
0|2022-01-17|5722.0|0|0.0|100|76.0|0|0.0|100
