|dates|Morrison_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Morrison_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Morrison_Minnesota_UnitedStates.Male_Total_Population.data|Morrison_Minnesota_UnitedStates.Male_Total_Population.missing|Morrison_Minnesota_UnitedStates.Female_Total_Population.data|Morrison_Minnesota_UnitedStates.Female_Total_Population.missing|Morrison_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|Morrison_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-24|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-25|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-26|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-27|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-28|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-29|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-11-30|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-01|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-02|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-03|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-04|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-05|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-06|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-07|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-08|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-09|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-10|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-11|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-12|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-13|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-14|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-15|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-16|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-17|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-18|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-19|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-20|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-21|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-22|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-23|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-24|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-25|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-26|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-27|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-28|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-29|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-30|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2021-12-31|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-01|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-02|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-03|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-04|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-05|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-06|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-07|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-08|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-09|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-10|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-11|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-12|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-13|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-14|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-15|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-16|6487.0|0|16745.0|0|16424.0|0|7761.0|0
0|2022-01-17|6487.0|0|16745.0|0|16424.0|0|7761.0|0
