|dates|Union_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Union_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Union_NewJersey_UnitedStates.NYT_ConfirmedCases.data|Union_NewJersey_UnitedStates.NYT_ConfirmedCases.missing|Union_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Union_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Union_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Union_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-28|81879.0|0|81879.0|0|2055.0|0|0.0|100
0|2021-11-29|81953.0|0|81953.0|0|2055.0|0|0.0|100
0|2021-11-30|82114.0|0|82114.0|0|2057.0|0|0.0|100
0|2021-12-01|82230.0|0|82230.0|0|2057.0|0|0.0|100
0|2021-12-02|82467.0|0|82467.0|0|2057.0|0|0.0|100
0|2021-12-03|82467.0|0|82711.0|0|2057.0|0|0.0|100
0|2021-12-04|82919.0|0|82919.0|0|2060.0|0|0.0|100
0|2021-12-05|83073.0|0|83073.0|0|2060.0|0|0.0|100
0|2021-12-06|83186.0|0|83186.0|0|2060.0|0|0.0|100
0|2021-12-07|83414.0|0|83414.0|0|2060.0|0|0.0|100
0|2021-12-08|83625.0|0|83625.0|0|2061.0|0|0.0|100
0|2021-12-09|83950.0|0|83950.0|0|2061.0|0|0.0|100
0|2021-12-10|84202.0|0|84202.0|0|2065.0|0|0.0|100
0|2021-12-11|84447.0|0|84447.0|0|2065.0|0|0.0|100
0|2021-12-12|84628.0|0|84628.0|0|2065.0|0|0.0|100
0|2021-12-13|84798.0|0|84798.0|0|2065.0|0|0.0|100
0|2021-12-14|84798.0|0|85079.0|0|2065.0|0|0.0|100
0|2021-12-15|85337.0|0|85337.0|0|2066.0|0|0.0|100
0|2021-12-16|85745.0|0|85745.0|0|2066.0|0|0.0|100
0|2021-12-17|86222.0|0|86222.0|0|2066.0|0|0.0|100
0|2021-12-18|86756.0|0|86756.0|0|2069.0|0|0.0|100
0|2021-12-19|87336.0|0|87336.0|0|2069.0|0|0.0|100
0|2021-12-20|87798.0|0|87798.0|0|2069.0|0|0.0|100
0|2021-12-21|88377.0|0|88377.0|0|2070.0|0|0.0|100
0|2021-12-22|89213.0|0|89213.0|0|2072.0|0|0.0|100
0|2021-12-23|90695.0|0|90695.0|0|2075.0|0|0.0|100
0|2021-12-24|92275.0|0|92275.0|0|2077.0|0|0.0|100
0|2021-12-25|93777.0|0|93777.0|0|2077.0|0|0.0|100
0|2021-12-26|94945.0|0|94945.0|0|2077.0|0|0.0|100
0|2021-12-27|95672.0|0|95672.0|0|2076.0|0|0.0|100
0|2021-12-28|96835.0|0|96835.0|0|2077.0|0|0.0|100
0|2021-12-29|98914.0|0|98914.0|0|2080.0|0|0.0|100
0|2021-12-30|108012.0|0|101935.0|0|2081.0|0|0.0|100
0|2021-12-31|104695.0|0|104695.0|0|2082.0|0|0.0|100
0|2022-01-01|107164.0|0|107164.0|0|2082.0|0|0.0|100
0|2022-01-02|109307.0|0|109307.0|0|2082.0|0|0.0|100
0|2022-01-03|110722.0|0|110722.0|0|2082.0|0|0.0|100
0|2022-01-04|112647.0|0|112647.0|0|2086.0|0|0.0|100
0|2022-01-05|115027.0|0|115027.0|0|2092.0|0|0.0|100
0|2022-01-06|117627.0|0|117627.0|0|2099.0|0|0.0|100
0|2022-01-07|119799.0|0|119799.0|0|2105.0|0|0.0|100
0|2022-01-08|121842.0|0|121842.0|0|2111.0|0|0.0|100
0|2022-01-09|123547.0|0|123547.0|0|2111.0|0|0.0|100
0|2022-01-10|125035.0|0|125035.0|0|2113.0|0|0.0|100
0|2022-01-11|126609.0|0|126609.0|0|2119.0|0|0.0|100
0|2022-01-12|127888.0|0|127888.0|0|2126.0|0|0.0|100
0|2022-01-13|127888.0|0|129031.0|0|2126.0|0|0.0|100
0|2022-01-14|130217.0|0|130217.0|0|2132.0|0|0.0|100
0|2022-01-15|130991.0|0|130991.0|0|2145.0|0|0.0|100
0|2022-01-16|131744.0|0|131744.0|0|2147.0|0|0.0|100
0|2022-01-17|132211.0|0|0.0|100|2149.0|0|0.0|100
