|dates|Greene_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Greene_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Greene_Illinois_UnitedStates.Male_Total_Population.data|Greene_Illinois_UnitedStates.Male_Total_Population.missing|Greene_Illinois_UnitedStates.Female_Total_Population.data|Greene_Illinois_UnitedStates.Female_Total_Population.missing|Greene_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Greene_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-06|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-07|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-08|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-09|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-10|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-11|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-12|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-13|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-14|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-15|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-16|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-17|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-18|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-19|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-20|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-21|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-22|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-23|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-24|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-25|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-26|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-27|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-28|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-29|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-30|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2021-12-31|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-01|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-02|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-03|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-04|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-05|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-06|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-07|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-08|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-09|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-10|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-11|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-12|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-13|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-14|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-15|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-16|2551.0|0|6566.0|0|6478.0|0|2774.0|0
0|2022-01-17|2551.0|0|6566.0|0|6478.0|0|2774.0|0
