|dates|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Cumberland_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Cumberland_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-27|11435.0|0|11435.0|0|230.0|0|0.0|100
0|2021-11-28|11435.0|0|11435.0|0|230.0|0|0.0|100
0|2021-11-29|11515.0|0|11515.0|0|230.0|0|0.0|100
0|2021-11-30|11538.0|0|11538.0|0|232.0|0|0.0|100
0|2021-12-01|11555.0|0|11555.0|0|232.0|0|0.0|100
0|2021-12-02|11578.0|0|11578.0|0|234.0|0|0.0|100
0|2021-12-03|11603.0|0|11603.0|0|235.0|0|0.0|100
0|2021-12-04|11603.0|0|11603.0|0|235.0|0|0.0|100
0|2021-12-05|11603.0|0|11603.0|0|235.0|0|0.0|100
0|2021-12-06|11655.0|0|11655.0|0|236.0|0|0.0|100
0|2021-12-07|11669.0|0|11669.0|0|237.0|0|0.0|100
0|2021-12-08|11680.0|0|11680.0|0|237.0|0|0.0|100
0|2021-12-09|11680.0|0|11680.0|0|237.0|0|0.0|100
0|2021-12-10|11727.0|0|11727.0|0|237.0|0|0.0|100
0|2021-12-11|11727.0|0|11727.0|0|237.0|0|0.0|100
0|2021-12-12|11727.0|0|11727.0|0|237.0|0|0.0|100
0|2021-12-13|11767.0|0|11767.0|0|237.0|0|0.0|100
0|2021-12-14|11767.0|0|11774.0|0|237.0|0|0.0|100
0|2021-12-15|11795.0|0|11795.0|0|237.0|0|0.0|100
0|2021-12-16|11807.0|0|11807.0|0|237.0|0|0.0|100
0|2021-12-17|11819.0|0|11819.0|0|237.0|0|0.0|100
0|2021-12-18|11819.0|0|11819.0|0|237.0|0|0.0|100
0|2021-12-19|11819.0|0|11819.0|0|237.0|0|0.0|100
0|2021-12-20|11856.0|0|11856.0|0|240.0|0|0.0|100
0|2021-12-21|11866.0|0|11866.0|0|241.0|0|0.0|100
0|2021-12-22|11878.0|0|11878.0|0|241.0|0|0.0|100
0|2021-12-23|11909.0|0|11909.0|0|270.0|0|0.0|100
0|2021-12-24|11909.0|0|11909.0|0|270.0|0|0.0|100
0|2021-12-25|11909.0|0|11909.0|0|270.0|0|0.0|100
0|2021-12-26|11909.0|0|11909.0|0|270.0|0|0.0|100
0|2021-12-27|11950.0|0|11950.0|0|272.0|0|0.0|100
0|2021-12-28|11962.0|0|11962.0|0|275.0|0|0.0|100
0|2021-12-29|11998.0|0|11998.0|0|275.0|0|0.0|100
0|2021-12-30|12041.0|0|12041.0|0|275.0|0|0.0|100
0|2021-12-31|12041.0|0|12041.0|0|275.0|0|0.0|100
0|2022-01-01|12041.0|0|12041.0|0|275.0|0|0.0|100
0|2022-01-02|12041.0|0|12041.0|0|275.0|0|0.0|100
0|2022-01-03|12168.0|0|12168.0|0|275.0|0|0.0|100
0|2022-01-04|12190.0|0|12190.0|0|275.0|0|0.0|100
0|2022-01-05|12190.0|0|12190.0|0|275.0|0|0.0|100
0|2022-01-06|12190.0|0|12190.0|0|275.0|0|0.0|100
0|2022-01-07|12190.0|0|12190.0|0|275.0|0|0.0|100
0|2022-01-08|12190.0|0|12190.0|0|275.0|0|0.0|100
0|2022-01-09|12190.0|0|12190.0|0|275.0|0|0.0|100
0|2022-01-10|12190.0|0|12190.0|0|275.0|0|0.0|100
0|2022-01-11|12190.0|0|12190.0|0|275.0|0|0.0|100
0|2022-01-12|12415.0|0|12415.0|0|278.0|0|0.0|100
0|2022-01-13|12415.0|0|12415.0|0|278.0|0|0.0|100
0|2022-01-14|12415.0|0|12415.0|0|278.0|0|0.0|100
0|2022-01-15|12415.0|0|12415.0|0|278.0|0|0.0|100
0|2022-01-16|12415.0|0|12415.0|0|278.0|0|0.0|100
0|2022-01-17|12415.0|0|0.0|100|278.0|0|0.0|100
