|dates|Stanton_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stanton_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stanton_Kansas_UnitedStates.Male_Total_Population.data|Stanton_Kansas_UnitedStates.Male_Total_Population.missing|Stanton_Kansas_UnitedStates.Female_Total_Population.data|Stanton_Kansas_UnitedStates.Female_Total_Population.missing|Stanton_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Stanton_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-04|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-05|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-06|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-07|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-08|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-09|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-10|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-11|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-12|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-13|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-14|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-15|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-16|350.0|0|990.0|0|997.0|0|519.0|0
0|2022-01-17|350.0|0|990.0|0|997.0|0|519.0|0
