|dates|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Wayne_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Wayne_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Wayne_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-06|16769.0|0|16769.0|0|304.0|0|0.0|100
0|2021-11-07|16769.0|0|16769.0|0|304.0|0|0.0|100
0|2021-11-08|16836.0|0|16836.0|0|305.0|0|0.0|100
0|2021-11-09|16860.0|0|16860.0|0|305.0|0|0.0|100
0|2021-11-10|16921.0|0|16921.0|0|305.0|0|0.0|100
0|2021-11-11|16921.0|0|16921.0|0|305.0|0|0.0|100
0|2021-11-12|16993.0|0|16993.0|0|305.0|0|0.0|100
0|2021-11-13|16993.0|0|16993.0|0|305.0|0|0.0|100
0|2021-11-14|16993.0|0|16993.0|0|305.0|0|0.0|100
0|2021-11-15|17061.0|0|17061.0|0|305.0|0|0.0|100
0|2021-11-16|17089.0|0|17089.0|0|305.0|0|0.0|100
0|2021-11-17|17134.0|0|17134.0|0|305.0|0|0.0|100
0|2021-11-18|17202.0|0|17202.0|0|305.0|0|0.0|100
0|2021-11-19|17242.0|0|17242.0|0|305.0|0|0.0|100
0|2021-11-20|17242.0|0|17242.0|0|305.0|0|0.0|100
0|2021-11-21|17242.0|0|17242.0|0|305.0|0|0.0|100
0|2021-11-22|17346.0|0|17346.0|0|308.0|0|0.0|100
0|2021-11-23|17383.0|0|17383.0|0|308.0|0|0.0|100
0|2021-11-24|17444.0|0|17444.0|0|308.0|0|0.0|100
0|2021-11-25|17444.0|0|17444.0|0|308.0|0|0.0|100
0|2021-11-26|17444.0|0|17444.0|0|308.0|0|0.0|100
0|2021-11-27|17444.0|0|17444.0|0|308.0|0|0.0|100
0|2021-11-28|17444.0|0|17444.0|0|308.0|0|0.0|100
0|2021-11-29|17548.0|0|17548.0|0|309.0|0|0.0|100
0|2021-11-30|17577.0|0|17577.0|0|309.0|0|0.0|100
0|2021-12-01|17644.0|0|17644.0|0|312.0|0|0.0|100
0|2021-12-02|17700.0|0|17700.0|0|312.0|0|0.0|100
0|2021-12-03|17760.0|0|17760.0|0|313.0|0|0.0|100
0|2021-12-04|17760.0|0|17760.0|0|313.0|0|0.0|100
0|2021-12-05|17760.0|0|17760.0|0|313.0|0|0.0|100
0|2021-12-06|17870.0|0|17870.0|0|314.0|0|0.0|100
0|2021-12-07|17882.0|0|17882.0|0|314.0|0|0.0|100
0|2021-12-08|17916.0|0|17916.0|0|316.0|0|0.0|100
0|2021-12-09|17978.0|0|17978.0|0|317.0|0|0.0|100
0|2021-12-10|18024.0|0|18024.0|0|317.0|0|0.0|100
0|2021-12-11|18024.0|0|18024.0|0|317.0|0|0.0|100
0|2021-12-12|18024.0|0|18024.0|0|317.0|0|0.0|100
0|2021-12-13|18084.0|0|18084.0|0|324.0|0|0.0|100
0|2021-12-14|18084.0|0|18107.0|0|324.0|0|0.0|100
0|2021-12-15|18151.0|0|18151.0|0|324.0|0|0.0|100
0|2021-12-16|18185.0|0|18185.0|0|329.0|0|0.0|100
0|2021-12-17|18228.0|0|18228.0|0|329.0|0|0.0|100
0|2021-12-18|18228.0|0|18228.0|0|329.0|0|0.0|100
0|2021-12-19|18228.0|0|18228.0|0|329.0|0|0.0|100
0|2021-12-20|18282.0|0|18282.0|0|330.0|0|0.0|100
0|2021-12-21|18291.0|0|18291.0|0|332.0|0|0.0|100
0|2021-12-22|18349.0|0|18349.0|0|332.0|0|0.0|100
0|2021-12-23|18349.0|0|18349.0|0|332.0|0|0.0|100
0|2021-12-24|18349.0|0|18349.0|0|332.0|0|0.0|100
0|2021-12-25|18349.0|0|18349.0|0|332.0|0|0.0|100
0|2021-12-26|18349.0|0|18349.0|0|332.0|0|0.0|100
0|2021-12-27|18349.0|0|18349.0|0|332.0|0|0.0|100
0|2021-12-28|18490.0|0|18490.0|0|332.0|0|0.0|100
0|2021-12-29|18515.0|0|18515.0|0|332.0|0|0.0|100
0|2021-12-30|18581.0|0|18581.0|0|332.0|0|0.0|100
0|2021-12-31|18581.0|0|18670.0|0|332.0|0|0.0|100
0|2022-01-01|18581.0|0|18670.0|0|332.0|0|0.0|100
0|2022-01-02|18581.0|0|18670.0|0|332.0|0|0.0|100
0|2022-01-03|19060.0|0|19060.0|0|334.0|0|0.0|100
0|2022-01-04|19137.0|0|19137.0|0|334.0|0|0.0|100
0|2022-01-05|19336.0|0|19336.0|0|335.0|0|0.0|100
0|2022-01-06|19582.0|0|19582.0|0|335.0|0|0.0|100
0|2022-01-07|19798.0|0|19798.0|0|337.0|0|0.0|100
0|2022-01-08|19798.0|0|19798.0|0|337.0|0|0.0|100
0|2022-01-09|19798.0|0|19798.0|0|337.0|0|0.0|100
0|2022-01-10|20533.0|0|20533.0|0|337.0|0|0.0|100
0|2022-01-11|20762.0|0|20762.0|0|337.0|0|0.0|100
0|2022-01-12|21098.0|0|21098.0|0|336.0|0|0.0|100
0|2022-01-13|21098.0|0|21511.0|0|336.0|0|0.0|100
0|2022-01-14|21854.0|0|21854.0|0|336.0|0|0.0|100
0|2022-01-15|21854.0|0|21854.0|0|336.0|0|0.0|100
0|2022-01-16|21854.0|0|21854.0|0|336.0|0|0.0|100
0|2022-01-17|21854.0|0|0.0|100|336.0|0|0.0|100
