|dates|Concho_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Concho_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Concho_Texas_UnitedStates.Male_Total_Population.data|Concho_Texas_UnitedStates.Male_Total_Population.missing|Concho_Texas_UnitedStates.Female_Total_Population.data|Concho_Texas_UnitedStates.Female_Total_Population.missing|Concho_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Concho_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-07|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-08|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-09|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-10|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-11|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-12|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-13|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-14|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-15|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-16|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-17|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-18|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-19|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-20|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-21|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-22|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-23|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-24|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-25|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-26|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-27|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-28|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-29|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-30|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2021-12-31|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-01|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-02|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-03|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-04|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-05|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-06|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-07|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-08|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-09|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-10|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-11|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-12|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-13|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-14|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-15|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-16|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2022-01-17|756.0|0|3020.0|0|1256.0|0|509.0|0
