|dates|Norton_Kansas_UnitedStates.JHU_ConfirmedCases.data|Norton_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Norton_Kansas_UnitedStates.NYT_ConfirmedCases.data|Norton_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Norton_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Norton_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Norton_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Norton_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-02|1679.0|0|1679.0|0|32.0|0|0.0|100
0|2022-01-03|1700.0|0|1700.0|0|32.0|0|0.0|100
0|2022-01-04|1700.0|0|1700.0|0|32.0|0|0.0|100
0|2022-01-05|1712.0|0|1712.0|0|32.0|0|0.0|100
0|2022-01-06|1712.0|0|1712.0|0|32.0|0|0.0|100
0|2022-01-07|1713.0|0|1713.0|0|35.0|0|0.0|100
0|2022-01-08|1713.0|0|1713.0|0|35.0|0|0.0|100
0|2022-01-09|1713.0|0|1713.0|0|35.0|0|0.0|100
0|2022-01-10|1721.0|0|1721.0|0|35.0|0|0.0|100
0|2022-01-11|1721.0|0|1721.0|0|35.0|0|0.0|100
0|2022-01-12|1721.0|0|1729.0|0|35.0|0|0.0|100
0|2022-01-13|1721.0|0|1736.0|0|35.0|0|0.0|100
0|2022-01-14|1755.0|0|1755.0|0|35.0|0|0.0|100
0|2022-01-15|1755.0|0|1755.0|0|35.0|0|0.0|100
0|2022-01-16|1755.0|0|1755.0|0|35.0|0|0.0|100
0|2022-01-17|1755.0|0|0.0|100|35.0|0|0.0|100
