|dates|Wirt_WestVirginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Wirt_WestVirginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Wirt_WestVirginia_UnitedStates.Male_Total_Population.data|Wirt_WestVirginia_UnitedStates.Male_Total_Population.missing|Wirt_WestVirginia_UnitedStates.Female_Total_Population.data|Wirt_WestVirginia_UnitedStates.Female_Total_Population.missing|Wirt_WestVirginia_UnitedStates.MaleAndFemale_Under18_Population.data|Wirt_WestVirginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-15|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-16|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-17|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-18|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-19|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-20|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-21|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-22|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-23|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-24|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-25|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-26|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-27|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-28|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-29|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-11-30|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-01|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-02|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-03|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-04|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-05|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-06|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-07|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-08|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-09|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-10|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-11|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-12|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-13|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-14|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-15|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-16|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-17|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-18|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-19|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-20|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-21|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-22|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-23|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-24|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-25|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-26|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-27|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-28|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-29|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-30|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2021-12-31|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-01|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-02|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-03|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-04|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-05|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-06|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-07|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-08|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-09|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-10|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-11|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-12|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-13|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-14|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-15|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-16|1180.0|0|2969.0|0|2861.0|0|1242.0|0
0|2022-01-17|1180.0|0|2969.0|0|2861.0|0|1242.0|0
