|dates|Fulton_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Fulton_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Fulton_Illinois_UnitedStates.Male_Total_Population.data|Fulton_Illinois_UnitedStates.Male_Total_Population.missing|Fulton_Illinois_UnitedStates.Female_Total_Population.data|Fulton_Illinois_UnitedStates.Female_Total_Population.missing|Fulton_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Fulton_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-10|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-11|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-12|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-13|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-14|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-15|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-16|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-17|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-18|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-19|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-20|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-21|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-22|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-23|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-24|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-25|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-26|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-27|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-28|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-29|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-11-30|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-01|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-02|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-03|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-04|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-05|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-06|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-07|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-08|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-09|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-10|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-11|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-12|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-13|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-14|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-15|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-16|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-17|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-18|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-19|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-20|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-21|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-22|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-23|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-24|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-25|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-26|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-27|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-28|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-29|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-30|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2021-12-31|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-01|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-02|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-03|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-04|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-05|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-06|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-07|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-08|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-09|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-10|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-11|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-12|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-13|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-14|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-15|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-16|7187.0|0|18133.0|0|16711.0|0|6892.0|0
0|2022-01-17|7187.0|0|18133.0|0|16711.0|0|6892.0|0
