|dates|Lincoln_Idaho_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Idaho_UnitedStates.NYT_ConfirmedCases.data|Lincoln_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Lincoln_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-20|714.0|0|714.0|0|14.0|0|0.0|100
0|2021-11-21|714.0|0|714.0|0|14.0|0|0.0|100
0|2021-11-22|719.0|0|719.0|0|14.0|0|0.0|100
0|2021-11-23|732.0|0|732.0|0|14.0|0|0.0|100
0|2021-11-24|731.0|0|731.0|0|14.0|0|0.0|100
0|2021-11-25|731.0|0|731.0|0|14.0|0|0.0|100
0|2021-11-26|732.0|0|732.0|0|14.0|0|0.0|100
0|2021-11-27|732.0|0|732.0|0|14.0|0|0.0|100
0|2021-11-28|732.0|0|732.0|0|14.0|0|0.0|100
0|2021-11-29|738.0|0|738.0|0|14.0|0|0.0|100
0|2021-11-30|743.0|0|743.0|0|14.0|0|0.0|100
0|2021-12-01|748.0|0|748.0|0|14.0|0|0.0|100
0|2021-12-02|748.0|0|750.0|0|14.0|0|0.0|100
0|2021-12-03|753.0|0|750.0|0|14.0|0|0.0|100
0|2021-12-04|753.0|0|753.0|0|14.0|0|0.0|100
0|2021-12-05|753.0|0|753.0|0|14.0|0|0.0|100
0|2021-12-06|753.0|0|753.0|0|14.0|0|0.0|100
0|2021-12-07|759.0|0|759.0|0|14.0|0|0.0|100
0|2021-12-08|760.0|0|760.0|0|14.0|0|0.0|100
0|2021-12-09|761.0|0|761.0|0|14.0|0|0.0|100
0|2021-12-10|761.0|0|761.0|0|14.0|0|0.0|100
0|2021-12-11|761.0|0|761.0|0|14.0|0|0.0|100
0|2021-12-12|761.0|0|761.0|0|14.0|0|0.0|100
0|2021-12-13|764.0|0|764.0|0|14.0|0|0.0|100
0|2021-12-14|764.0|0|767.0|0|14.0|0|0.0|100
0|2021-12-15|767.0|0|767.0|0|14.0|0|0.0|100
0|2021-12-16|768.0|0|768.0|0|14.0|0|0.0|100
0|2021-12-17|768.0|0|768.0|0|14.0|0|0.0|100
0|2021-12-18|768.0|0|768.0|0|14.0|0|0.0|100
0|2021-12-19|768.0|0|768.0|0|14.0|0|0.0|100
0|2021-12-20|770.0|0|770.0|0|14.0|0|0.0|100
0|2021-12-21|772.0|0|772.0|0|14.0|0|0.0|100
0|2021-12-22|772.0|0|772.0|0|14.0|0|0.0|100
0|2021-12-23|773.0|0|773.0|0|14.0|0|0.0|100
0|2021-12-24|773.0|0|773.0|0|14.0|0|0.0|100
0|2021-12-25|773.0|0|773.0|0|14.0|0|0.0|100
0|2021-12-26|773.0|0|773.0|0|14.0|0|0.0|100
0|2021-12-27|773.0|0|773.0|0|14.0|0|0.0|100
0|2021-12-28|775.0|0|775.0|0|14.0|0|0.0|100
0|2021-12-29|779.0|0|779.0|0|14.0|0|0.0|100
0|2021-12-30|780.0|0|780.0|0|14.0|0|0.0|100
0|2021-12-31|780.0|0|780.0|0|14.0|0|0.0|100
0|2022-01-01|780.0|0|780.0|0|14.0|0|0.0|100
0|2022-01-02|780.0|0|780.0|0|14.0|0|0.0|100
0|2022-01-03|781.0|0|781.0|0|14.0|0|0.0|100
0|2022-01-04|782.0|0|782.0|0|14.0|0|0.0|100
0|2022-01-05|786.0|0|786.0|0|14.0|0|0.0|100
0|2022-01-06|796.0|0|796.0|0|14.0|0|0.0|100
0|2022-01-07|797.0|0|797.0|0|14.0|0|0.0|100
0|2022-01-08|798.0|0|798.0|0|14.0|0|0.0|100
0|2022-01-09|798.0|0|798.0|0|14.0|0|0.0|100
0|2022-01-10|798.0|0|798.0|0|14.0|0|0.0|100
0|2022-01-11|800.0|0|800.0|0|14.0|0|0.0|100
0|2022-01-12|803.0|0|803.0|0|14.0|0|0.0|100
0|2022-01-13|803.0|0|804.0|0|14.0|0|0.0|100
0|2022-01-14|805.0|0|805.0|0|14.0|0|0.0|100
0|2022-01-15|806.0|0|806.0|0|14.0|0|0.0|100
0|2022-01-16|806.0|0|806.0|0|14.0|0|0.0|100
0|2022-01-17|806.0|0|0.0|100|14.0|0|0.0|100
