|dates|Harnett_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Harnett_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Harnett_NorthCarolina_UnitedStates.Male_Total_Population.data|Harnett_NorthCarolina_UnitedStates.Male_Total_Population.missing|Harnett_NorthCarolina_UnitedStates.Female_Total_Population.data|Harnett_NorthCarolina_UnitedStates.Female_Total_Population.missing|Harnett_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Harnett_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-17|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-18|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-19|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-20|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-21|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-22|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-23|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-24|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-25|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-26|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-27|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-28|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-29|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-11-30|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-01|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-02|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-03|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-04|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-05|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-06|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-07|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-08|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-09|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-10|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-11|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-12|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-13|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-14|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-15|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-16|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-17|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-18|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-19|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-20|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-21|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-22|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-23|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-24|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-25|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-26|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-27|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-28|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-29|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-30|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2021-12-31|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-01|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-02|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-03|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-04|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-05|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-06|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-07|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-08|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-09|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-10|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-11|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-12|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-13|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-14|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-15|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-16|16723.0|0|66478.0|0|67736.0|0|34902.0|0
0|2022-01-17|16723.0|0|66478.0|0|67736.0|0|34902.0|0
