|dates|Walker_Georgia_UnitedStates.JHU_ConfirmedCases.data|Walker_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Walker_Georgia_UnitedStates.NYT_ConfirmedCases.data|Walker_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Walker_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Walker_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Walker_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Walker_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-30|11600.0|0|11722.0|0|160.0|0|0.0|100
0|2021-12-01|11627.0|0|11749.0|0|160.0|0|0.0|100
0|2021-12-02|11627.0|0|11759.0|0|160.0|0|0.0|100
0|2021-12-03|11685.0|0|11807.0|0|162.0|0|0.0|100
0|2021-12-04|11685.0|0|11807.0|0|162.0|0|0.0|100
0|2021-12-05|11685.0|0|11807.0|0|162.0|0|0.0|100
0|2021-12-06|11723.0|0|11846.0|0|163.0|0|0.0|100
0|2021-12-07|11739.0|0|11862.0|0|163.0|0|0.0|100
0|2021-12-08|11781.0|0|11904.0|0|164.0|0|0.0|100
0|2021-12-09|11805.0|0|11928.0|0|164.0|0|0.0|100
0|2021-12-10|11835.0|0|11958.0|0|164.0|0|0.0|100
0|2021-12-11|11835.0|0|11958.0|0|164.0|0|0.0|100
0|2021-12-12|11835.0|0|11958.0|0|164.0|0|0.0|100
0|2021-12-13|11875.0|0|11996.0|0|166.0|0|0.0|100
0|2021-12-14|11875.0|0|12026.0|0|166.0|0|0.0|100
0|2021-12-15|11922.0|0|12043.0|0|168.0|0|0.0|100
0|2021-12-16|11945.0|0|12066.0|0|170.0|0|0.0|100
0|2021-12-17|11982.0|0|12103.0|0|171.0|0|0.0|100
0|2021-12-18|11982.0|0|12103.0|0|171.0|0|0.0|100
0|2021-12-19|11982.0|0|12103.0|0|171.0|0|0.0|100
0|2021-12-20|12031.0|0|12154.0|0|172.0|0|0.0|100
0|2021-12-21|12083.0|0|12206.0|0|172.0|0|0.0|100
0|2021-12-22|12132.0|0|12255.0|0|173.0|0|0.0|100
0|2021-12-23|12182.0|0|12305.0|0|173.0|0|0.0|100
0|2021-12-24|12206.0|0|12329.0|0|175.0|0|0.0|100
0|2021-12-25|12206.0|0|12329.0|0|175.0|0|0.0|100
0|2021-12-26|12206.0|0|12329.0|0|175.0|0|0.0|100
0|2021-12-27|12240.0|0|12355.0|0|175.0|0|0.0|100
0|2021-12-28|12294.0|0|12409.0|0|176.0|0|0.0|100
0|2021-12-29|12329.0|0|12444.0|0|176.0|0|0.0|100
0|2021-12-30|12390.0|0|12505.0|0|176.0|0|0.0|100
0|2021-12-31|12445.0|0|12560.0|0|176.0|0|0.0|100
0|2022-01-01|12445.0|0|12560.0|0|176.0|0|0.0|100
0|2022-01-02|12445.0|0|12560.0|0|176.0|0|0.0|100
0|2022-01-03|12445.0|0|12560.0|0|176.0|0|0.0|100
0|2022-01-04|12600.0|0|12715.0|0|176.0|0|0.0|100
0|2022-01-05|12699.0|0|12814.0|0|176.0|0|0.0|100
0|2022-01-06|12699.0|0|12814.0|0|176.0|0|0.0|100
0|2022-01-07|12699.0|0|12814.0|0|176.0|0|0.0|100
0|2022-01-08|12699.0|0|12814.0|0|176.0|0|0.0|100
0|2022-01-09|12699.0|0|12814.0|0|176.0|0|0.0|100
0|2022-01-10|13053.0|0|13174.0|0|178.0|0|0.0|100
0|2022-01-11|13153.0|0|13274.0|0|178.0|0|0.0|100
0|2022-01-12|13229.0|0|13350.0|0|178.0|0|0.0|100
0|2022-01-13|13229.0|0|13543.0|0|178.0|0|0.0|100
0|2022-01-14|13494.0|0|13615.0|0|179.0|0|0.0|100
0|2022-01-15|13494.0|0|13615.0|0|179.0|0|0.0|100
0|2022-01-16|13494.0|0|13615.0|0|179.0|0|0.0|100
0|2022-01-17|13688.0|0|0.0|100|180.0|0|0.0|100
