|dates|Cascade_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cascade_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cascade_Montana_UnitedStates.Male_Total_Population.data|Cascade_Montana_UnitedStates.Male_Total_Population.missing|Cascade_Montana_UnitedStates.Female_Total_Population.data|Cascade_Montana_UnitedStates.Female_Total_Population.missing|Cascade_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Cascade_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-12|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-13|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-14|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-15|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-16|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-17|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-18|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-19|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-20|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-21|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-22|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-23|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-24|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-25|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-26|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-27|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-28|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-29|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-11-30|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-01|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-02|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-03|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-04|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-05|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-06|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-07|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-08|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-09|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-10|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-11|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-12|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-13|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-14|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-15|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-16|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-17|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-18|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-19|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-20|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-21|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-22|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-23|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-24|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-25|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-26|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-27|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-28|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-29|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-30|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2021-12-31|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-01|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-02|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-03|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-04|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-05|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-06|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-07|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-08|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-09|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-10|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-11|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-12|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-13|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-14|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-15|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-16|15160.0|0|41285.0|0|40358.0|0|18289.0|0
0|2022-01-17|15160.0|0|41285.0|0|40358.0|0|18289.0|0
