|dates|Washington_Alabama_UnitedStates.JHU_ConfirmedCases.data|Washington_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Washington_Alabama_UnitedStates.NYT_ConfirmedCases.data|Washington_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Washington_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-04|2652.0|0|2652.0|0|51.0|0|0.0|100
0|2022-01-05|2683.0|0|2683.0|0|51.0|0|0.0|100
0|2022-01-06|2707.0|0|2707.0|0|51.0|0|0.0|100
0|2022-01-07|2741.0|0|2741.0|0|52.0|0|0.0|100
0|2022-01-08|2746.0|0|2746.0|0|52.0|0|0.0|100
0|2022-01-09|2761.0|0|2761.0|0|52.0|0|0.0|100
0|2022-01-10|2770.0|0|2770.0|0|52.0|0|0.0|100
0|2022-01-11|2791.0|0|2791.0|0|52.0|0|0.0|100
0|2022-01-12|2823.0|0|2823.0|0|52.0|0|0.0|100
0|2022-01-13|2823.0|0|2823.0|0|52.0|0|0.0|100
0|2022-01-14|2823.0|0|2823.0|0|52.0|0|0.0|100
0|2022-01-15|2823.0|0|2823.0|0|52.0|0|0.0|100
0|2022-01-16|2968.0|0|2968.0|0|52.0|0|0.0|100
0|2022-01-17|2988.0|0|0.0|100|52.0|0|0.0|100
