|dates|Thayer_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Thayer_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Thayer_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Thayer_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Thayer_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Thayer_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Thayer_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Thayer_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-08|722.0|0|722.0|0|4.0|0|0.0|100
0|2021-11-09|724.0|0|724.0|0|4.0|0|0.0|100
0|2021-11-10|726.0|0|726.0|0|4.0|0|0.0|100
0|2021-11-11|726.0|0|726.0|0|4.0|0|0.0|100
0|2021-11-12|729.0|0|729.0|0|4.0|0|0.0|100
0|2021-11-13|729.0|0|729.0|0|4.0|0|0.0|100
0|2021-11-14|729.0|0|729.0|0|4.0|0|0.0|100
0|2021-11-15|731.0|0|731.0|0|4.0|0|0.0|100
0|2021-11-16|732.0|0|732.0|0|4.0|0|0.0|100
0|2021-11-17|734.0|0|734.0|0|4.0|0|0.0|100
0|2021-11-18|735.0|0|735.0|0|4.0|0|0.0|100
0|2021-11-19|737.0|0|737.0|0|4.0|0|0.0|100
0|2021-11-20|737.0|0|737.0|0|4.0|0|0.0|100
0|2021-11-21|737.0|0|737.0|0|4.0|0|0.0|100
0|2021-11-22|739.0|0|739.0|0|4.0|0|0.0|100
0|2021-11-23|742.0|0|742.0|0|4.0|0|0.0|100
0|2021-11-24|748.0|0|748.0|0|4.0|0|0.0|100
0|2021-11-25|748.0|0|748.0|0|4.0|0|0.0|100
0|2021-11-26|748.0|0|748.0|0|4.0|0|0.0|100
0|2021-11-27|748.0|0|748.0|0|4.0|0|0.0|100
0|2021-11-28|748.0|0|748.0|0|4.0|0|0.0|100
0|2021-11-29|756.0|0|756.0|0|4.0|0|0.0|100
0|2021-11-30|758.0|0|758.0|0|4.0|0|0.0|100
0|2021-12-01|765.0|0|765.0|0|4.0|0|0.0|100
0|2021-12-02|771.0|0|771.0|0|4.0|0|0.0|100
0|2021-12-03|775.0|0|775.0|0|4.0|0|0.0|100
0|2021-12-04|775.0|0|775.0|0|4.0|0|0.0|100
0|2021-12-05|775.0|0|775.0|0|4.0|0|0.0|100
0|2021-12-06|785.0|0|785.0|0|4.0|0|0.0|100
0|2021-12-07|787.0|0|787.0|0|4.0|0|0.0|100
0|2021-12-08|790.0|0|790.0|0|4.0|0|0.0|100
0|2021-12-09|792.0|0|792.0|0|4.0|0|0.0|100
0|2021-12-10|792.0|0|792.0|0|4.0|0|0.0|100
0|2021-12-11|792.0|0|792.0|0|4.0|0|0.0|100
0|2021-12-12|792.0|0|792.0|0|4.0|0|0.0|100
0|2021-12-13|792.0|0|792.0|0|4.0|0|0.0|100
0|2021-12-14|792.0|0|793.0|0|4.0|0|0.0|100
0|2021-12-15|796.0|0|796.0|0|4.0|0|0.0|100
0|2021-12-16|796.0|0|796.0|0|4.0|0|0.0|100
0|2021-12-17|797.0|0|797.0|0|4.0|0|0.0|100
0|2021-12-18|797.0|0|797.0|0|4.0|0|0.0|100
0|2021-12-19|797.0|0|797.0|0|4.0|0|0.0|100
0|2021-12-20|800.0|0|800.0|0|4.0|0|0.0|100
0|2021-12-21|802.0|0|802.0|0|4.0|0|0.0|100
0|2021-12-22|804.0|0|804.0|0|4.0|0|0.0|100
0|2021-12-23|809.0|0|809.0|0|4.0|0|0.0|100
0|2021-12-24|809.0|0|809.0|0|4.0|0|0.0|100
0|2021-12-25|809.0|0|809.0|0|4.0|0|0.0|100
0|2021-12-26|809.0|0|809.0|0|4.0|0|0.0|100
0|2021-12-27|809.0|0|809.0|0|4.0|0|0.0|100
0|2021-12-28|814.0|0|814.0|0|4.0|0|0.0|100
0|2021-12-29|817.0|0|817.0|0|4.0|0|0.0|100
0|2021-12-30|818.0|0|818.0|0|4.0|0|0.0|100
0|2021-12-31|818.0|0|818.0|0|4.0|0|0.0|100
0|2022-01-01|818.0|0|818.0|0|4.0|0|0.0|100
0|2022-01-02|818.0|0|818.0|0|4.0|0|0.0|100
0|2022-01-03|826.0|0|826.0|0|4.0|0|0.0|100
0|2022-01-04|830.0|0|830.0|0|4.0|0|0.0|100
0|2022-01-05|837.0|0|837.0|0|4.0|0|0.0|100
0|2022-01-06|847.0|0|847.0|0|4.0|0|0.0|100
0|2022-01-07|849.0|0|849.0|0|4.0|0|0.0|100
0|2022-01-08|849.0|0|849.0|0|4.0|0|0.0|100
0|2022-01-09|849.0|0|849.0|0|4.0|0|0.0|100
0|2022-01-10|862.0|0|862.0|0|4.0|0|0.0|100
0|2022-01-11|871.0|0|871.0|0|4.0|0|0.0|100
0|2022-01-12|880.0|0|880.0|0|4.0|0|0.0|100
0|2022-01-13|880.0|0|885.0|0|4.0|0|0.0|100
0|2022-01-14|889.0|0|889.0|0|4.0|0|0.0|100
0|2022-01-15|889.0|0|889.0|0|4.0|0|0.0|100
0|2022-01-16|889.0|0|889.0|0|4.0|0|0.0|100
0|2022-01-17|908.0|0|0.0|100|4.0|0|0.0|100
