|dates|Sterling_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sterling_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sterling_Texas_UnitedStates.Male_Total_Population.data|Sterling_Texas_UnitedStates.Male_Total_Population.missing|Sterling_Texas_UnitedStates.Female_Total_Population.data|Sterling_Texas_UnitedStates.Female_Total_Population.missing|Sterling_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Sterling_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-09|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-10|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-11|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-12|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-13|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-14|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-15|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-16|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-17|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-18|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-19|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-20|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-21|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-22|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-23|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-24|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-25|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-26|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-27|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-28|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-29|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-11-30|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-01|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-02|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-03|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-04|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-05|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-06|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-07|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-08|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-09|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-10|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-11|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-12|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-13|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-14|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-15|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-16|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-17|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-18|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-19|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-20|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-21|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-22|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-23|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-24|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-25|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-26|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-27|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-28|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-29|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-30|189.0|0|668.0|0|643.0|0|373.0|0
0|2021-12-31|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-01|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-02|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-03|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-04|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-05|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-06|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-07|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-08|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-09|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-10|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-11|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-12|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-13|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-14|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-15|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-16|189.0|0|668.0|0|643.0|0|373.0|0
0|2022-01-17|189.0|0|668.0|0|643.0|0|373.0|0
