|dates|Halifax_Virginia_UnitedStates.JHU_ConfirmedCases.data|Halifax_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Halifax_Virginia_UnitedStates.NYT_ConfirmedCases.data|Halifax_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Halifax_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Halifax_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Halifax_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Halifax_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-26|4417.0|0|4417.0|0|121.0|0|0.0|100
0|2021-12-27|4449.0|0|4449.0|0|121.0|0|0.0|100
0|2021-12-28|4458.0|0|4458.0|0|126.0|0|0.0|100
0|2021-12-29|4490.0|0|4490.0|0|126.0|0|0.0|100
0|2021-12-30|4527.0|0|4527.0|0|126.0|0|0.0|100
0|2021-12-31|4569.0|0|4569.0|0|127.0|0|0.0|100
0|2022-01-01|4569.0|0|4569.0|0|127.0|0|0.0|100
0|2022-01-02|4569.0|0|4569.0|0|127.0|0|0.0|100
0|2022-01-03|4634.0|0|4634.0|0|127.0|0|0.0|100
0|2022-01-04|4709.0|0|4709.0|0|127.0|0|0.0|100
0|2022-01-05|4717.0|0|4717.0|0|127.0|0|0.0|100
0|2022-01-06|4770.0|0|4770.0|0|127.0|0|0.0|100
0|2022-01-07|4819.0|0|4819.0|0|127.0|0|0.0|100
0|2022-01-08|4819.0|0|4819.0|0|127.0|0|0.0|100
0|2022-01-09|4819.0|0|4819.0|0|127.0|0|0.0|100
0|2022-01-10|5018.0|0|5018.0|0|127.0|0|0.0|100
0|2022-01-11|5091.0|0|5091.0|0|127.0|0|0.0|100
0|2022-01-12|5194.0|0|5194.0|0|127.0|0|0.0|100
0|2022-01-13|5194.0|0|5284.0|0|127.0|0|0.0|100
0|2022-01-14|5364.0|0|5364.0|0|127.0|0|0.0|100
0|2022-01-15|5364.0|0|5364.0|0|127.0|0|0.0|100
0|2022-01-16|5364.0|0|5364.0|0|127.0|0|0.0|100
0|2022-01-17|5591.0|0|0.0|100|127.0|0|0.0|100
