|dates|Marshall_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Marshall_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Marshall_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Marshall_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Marshall_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Marshall_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Marshall_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Marshall_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-22|5465.0|0|5465.0|0|85.0|0|0.0|100
0|2021-12-23|5465.0|0|5465.0|0|85.0|0|0.0|100
0|2021-12-24|5465.0|0|5465.0|0|85.0|0|0.0|100
0|2021-12-25|5465.0|0|5465.0|0|85.0|0|0.0|100
0|2021-12-26|5465.0|0|5465.0|0|85.0|0|0.0|100
0|2021-12-27|5507.0|0|5507.0|0|85.0|0|0.0|100
0|2021-12-28|5529.0|0|5529.0|0|85.0|0|0.0|100
0|2021-12-29|5580.0|0|5580.0|0|85.0|0|0.0|100
0|2021-12-30|5580.0|0|5580.0|0|85.0|0|0.0|100
0|2021-12-31|5580.0|0|5580.0|0|85.0|0|0.0|100
0|2022-01-01|5580.0|0|5580.0|0|85.0|0|0.0|100
0|2022-01-02|5580.0|0|5580.0|0|85.0|0|0.0|100
0|2022-01-03|5644.0|0|5644.0|0|86.0|0|0.0|100
0|2022-01-04|5692.0|0|5692.0|0|86.0|0|0.0|100
0|2022-01-05|5766.0|0|5766.0|0|87.0|0|0.0|100
0|2022-01-06|5781.0|0|5781.0|0|88.0|0|0.0|100
0|2022-01-07|5827.0|0|5827.0|0|89.0|0|0.0|100
0|2022-01-08|5827.0|0|5827.0|0|89.0|0|0.0|100
0|2022-01-09|5827.0|0|5827.0|0|89.0|0|0.0|100
0|2022-01-10|5905.0|0|5905.0|0|89.0|0|0.0|100
0|2022-01-11|5957.0|0|5957.0|0|89.0|0|0.0|100
0|2022-01-12|5995.0|0|5995.0|0|90.0|0|0.0|100
0|2022-01-13|5995.0|0|6076.0|0|90.0|0|0.0|100
0|2022-01-14|6181.0|0|6181.0|0|90.0|0|0.0|100
0|2022-01-15|6181.0|0|6181.0|0|90.0|0|0.0|100
0|2022-01-16|6181.0|0|6181.0|0|90.0|0|0.0|100
0|2022-01-17|6181.0|0|0.0|100|90.0|0|0.0|100
