|dates|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Haywood_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Haywood_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Haywood_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-31|8495.0|0|8544.0|0|160.0|0|0.0|100
0|2022-01-01|8495.0|0|8544.0|0|160.0|0|0.0|100
0|2022-01-02|8495.0|0|8544.0|0|160.0|0|0.0|100
0|2022-01-03|8648.0|0|8648.0|0|163.0|0|0.0|100
0|2022-01-04|8685.0|0|8685.0|0|163.0|0|0.0|100
0|2022-01-05|8771.0|0|8771.0|0|163.0|0|0.0|100
0|2022-01-06|8853.0|0|8853.0|0|163.0|0|0.0|100
0|2022-01-07|8962.0|0|8962.0|0|163.0|0|0.0|100
0|2022-01-08|8962.0|0|8962.0|0|163.0|0|0.0|100
0|2022-01-09|8962.0|0|8962.0|0|163.0|0|0.0|100
0|2022-01-10|9170.0|0|9170.0|0|163.0|0|0.0|100
0|2022-01-11|9239.0|0|9239.0|0|163.0|0|0.0|100
0|2022-01-12|9348.0|0|9348.0|0|163.0|0|0.0|100
0|2022-01-13|9348.0|0|9478.0|0|163.0|0|0.0|100
0|2022-01-14|9611.0|0|9611.0|0|163.0|0|0.0|100
0|2022-01-15|9611.0|0|9611.0|0|163.0|0|0.0|100
0|2022-01-16|9611.0|0|9611.0|0|163.0|0|0.0|100
0|2022-01-17|9611.0|0|0.0|100|163.0|0|0.0|100
