|dates|Cole_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cole_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cole_Missouri_UnitedStates.Male_Total_Population.data|Cole_Missouri_UnitedStates.Male_Total_Population.missing|Cole_Missouri_UnitedStates.Female_Total_Population.data|Cole_Missouri_UnitedStates.Female_Total_Population.missing|Cole_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|Cole_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-29|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-11-30|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-01|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-02|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-03|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-04|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-05|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-06|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-07|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-08|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-09|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-10|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-11|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-12|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-13|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-14|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-15|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-16|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-17|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-18|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-19|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-20|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-21|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-22|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-23|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-24|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-25|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-26|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-27|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-28|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-29|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-30|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2021-12-31|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-01|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-02|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-03|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-04|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-05|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-06|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-07|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-08|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-09|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-10|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-11|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-12|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-13|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-14|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-15|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-16|12734.0|0|38795.0|0|38001.0|0|17106.0|0
0|2022-01-17|12734.0|0|38795.0|0|38001.0|0|17106.0|0
