|dates|Campbell_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Campbell_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Campbell_Tennessee_UnitedStates.Male_Total_Population.data|Campbell_Tennessee_UnitedStates.Male_Total_Population.missing|Campbell_Tennessee_UnitedStates.Female_Total_Population.data|Campbell_Tennessee_UnitedStates.Female_Total_Population.missing|Campbell_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.data|Campbell_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-10|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-11|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-12|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-13|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-14|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-15|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-16|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-17|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-18|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-19|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-20|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-21|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-22|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-23|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-24|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-25|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-26|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-27|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-28|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-29|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-11-30|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-01|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-02|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-03|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-04|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-05|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-06|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-07|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-08|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-09|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-10|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-11|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-12|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-13|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-14|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-15|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-16|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-17|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-18|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-19|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-20|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-21|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-22|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-23|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-24|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-25|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-26|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-27|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-28|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-29|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-30|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2021-12-31|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-01|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-02|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-03|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-04|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-05|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-06|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-07|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-08|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-09|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-10|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-11|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-12|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-13|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-14|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-15|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-16|8212.0|0|19454.0|0|20129.0|0|8149.0|0
0|2022-01-17|8212.0|0|19454.0|0|20129.0|0|8149.0|0
