|dates|Hayes_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hayes_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hayes_Nebraska_UnitedStates.Male_Total_Population.data|Hayes_Nebraska_UnitedStates.Male_Total_Population.missing|Hayes_Nebraska_UnitedStates.Female_Total_Population.data|Hayes_Nebraska_UnitedStates.Female_Total_Population.missing|Hayes_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Hayes_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-05|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-06|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-07|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-08|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-09|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-10|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-11|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-12|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-13|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-14|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-15|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-16|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-17|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-18|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-19|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-20|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-21|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-22|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-23|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-24|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-25|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-26|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-27|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-28|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-29|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-30|252.0|0|474.0|0|442.0|0|206.0|0
0|2021-12-31|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-01|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-02|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-03|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-04|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-05|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-06|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-07|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-08|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-09|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-10|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-11|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-12|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-13|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-14|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-15|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-16|252.0|0|474.0|0|442.0|0|206.0|0
0|2022-01-17|252.0|0|474.0|0|442.0|0|206.0|0
