|dates|Sullivan_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sullivan_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sullivan_Pennsylvania_UnitedStates.Male_Total_Population.data|Sullivan_Pennsylvania_UnitedStates.Male_Total_Population.missing|Sullivan_Pennsylvania_UnitedStates.Female_Total_Population.data|Sullivan_Pennsylvania_UnitedStates.Female_Total_Population.missing|Sullivan_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Sullivan_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-07|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-08|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-09|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-10|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-11|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-12|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-13|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-14|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-15|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-16|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-17|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-18|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-19|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-20|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-21|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-22|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-23|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-24|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-25|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-26|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-27|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-28|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-29|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-30|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2021-12-31|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-01|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-02|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-03|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-04|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-05|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-06|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-07|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-08|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-09|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-10|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-11|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-12|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-13|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-14|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-15|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-16|1718.0|0|3176.0|0|2895.0|0|645.0|0
0|2022-01-17|1718.0|0|3176.0|0|2895.0|0|645.0|0
