|dates|Mahnomen_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Mahnomen_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Mahnomen_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Mahnomen_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Mahnomen_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Mahnomen_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Mahnomen_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Mahnomen_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-10|977.0|0|980.0|0|13.0|0|0.0|100
0|2021-11-11|988.0|0|988.0|0|13.0|0|0.0|100
0|2021-11-12|995.0|0|995.0|0|13.0|0|0.0|100
0|2021-11-13|995.0|0|995.0|0|13.0|0|0.0|100
0|2021-11-14|995.0|0|995.0|0|13.0|0|0.0|100
0|2021-11-15|1001.0|0|1001.0|0|13.0|0|0.0|100
0|2021-11-16|1014.0|0|1014.0|0|13.0|0|0.0|100
0|2021-11-17|1020.0|0|1020.0|0|13.0|0|0.0|100
0|2021-11-18|1032.0|0|1032.0|0|13.0|0|0.0|100
0|2021-11-19|1035.0|0|1035.0|0|13.0|0|0.0|100
0|2021-11-20|1035.0|0|1035.0|0|13.0|0|0.0|100
0|2021-11-21|1035.0|0|1035.0|0|13.0|0|0.0|100
0|2021-11-22|1037.0|0|1037.0|0|14.0|0|0.0|100
0|2021-11-23|1042.0|0|1042.0|0|14.0|0|0.0|100
0|2021-11-24|1045.0|0|1045.0|0|14.0|0|0.0|100
0|2021-11-25|1045.0|0|1045.0|0|14.0|0|0.0|100
0|2021-11-26|1047.0|0|1047.0|0|14.0|0|0.0|100
0|2021-11-27|1047.0|0|1047.0|0|14.0|0|0.0|100
0|2021-11-28|1047.0|0|1047.0|0|14.0|0|0.0|100
0|2021-11-29|1054.0|0|1054.0|0|14.0|0|0.0|100
0|2021-11-30|1059.0|0|1059.0|0|14.0|0|0.0|100
0|2021-12-01|1060.0|0|1060.0|0|14.0|0|0.0|100
0|2021-12-02|1060.0|0|1064.0|0|14.0|0|0.0|100
0|2021-12-03|1083.0|0|1083.0|0|14.0|0|0.0|100
0|2021-12-04|1083.0|0|1083.0|0|14.0|0|0.0|100
0|2021-12-05|1083.0|0|1083.0|0|14.0|0|0.0|100
0|2021-12-06|1085.0|0|1085.0|0|14.0|0|0.0|100
0|2021-12-07|1089.0|0|1089.0|0|14.0|0|0.0|100
0|2021-12-08|1095.0|0|1095.0|0|15.0|0|0.0|100
0|2021-12-09|1101.0|0|1101.0|0|15.0|0|0.0|100
0|2021-12-10|1104.0|0|1104.0|0|15.0|0|0.0|100
0|2021-12-11|1104.0|0|1104.0|0|15.0|0|0.0|100
0|2021-12-12|1104.0|0|1104.0|0|15.0|0|0.0|100
0|2021-12-13|1111.0|0|1111.0|0|15.0|0|0.0|100
0|2021-12-14|1111.0|0|1123.0|0|15.0|0|0.0|100
0|2021-12-15|1129.0|0|1129.0|0|15.0|0|0.0|100
0|2021-12-16|1136.0|0|1136.0|0|15.0|0|0.0|100
0|2021-12-17|1139.0|0|1139.0|0|15.0|0|0.0|100
0|2021-12-18|1139.0|0|1139.0|0|15.0|0|0.0|100
0|2021-12-19|1139.0|0|1139.0|0|15.0|0|0.0|100
0|2021-12-20|1141.0|0|1141.0|0|15.0|0|0.0|100
0|2021-12-21|1144.0|0|1144.0|0|15.0|0|0.0|100
0|2021-12-22|1148.0|0|1148.0|0|15.0|0|0.0|100
0|2021-12-23|1152.0|0|1152.0|0|15.0|0|0.0|100
0|2021-12-24|1152.0|0|1152.0|0|15.0|0|0.0|100
0|2021-12-25|1152.0|0|1152.0|0|15.0|0|0.0|100
0|2021-12-26|1152.0|0|1152.0|0|15.0|0|0.0|100
0|2021-12-27|1153.0|0|1153.0|0|15.0|0|0.0|100
0|2021-12-28|1158.0|0|1158.0|0|15.0|0|0.0|100
0|2021-12-29|1158.0|0|1158.0|0|16.0|0|0.0|100
0|2021-12-30|1160.0|0|1160.0|0|16.0|0|0.0|100
0|2021-12-31|1160.0|0|1160.0|0|16.0|0|0.0|100
0|2022-01-01|1160.0|0|1160.0|0|16.0|0|0.0|100
0|2022-01-02|1160.0|0|1160.0|0|16.0|0|0.0|100
0|2022-01-03|1164.0|0|1164.0|0|16.0|0|0.0|100
0|2022-01-04|1170.0|0|1170.0|0|16.0|0|0.0|100
0|2022-01-05|1170.0|0|1170.0|0|16.0|0|0.0|100
0|2022-01-06|1173.0|0|1173.0|0|16.0|0|0.0|100
0|2022-01-07|1181.0|0|1181.0|0|16.0|0|0.0|100
0|2022-01-08|1181.0|0|1181.0|0|16.0|0|0.0|100
0|2022-01-09|1181.0|0|1181.0|0|16.0|0|0.0|100
0|2022-01-10|1191.0|0|1191.0|0|17.0|0|0.0|100
0|2022-01-11|1212.0|0|1212.0|0|17.0|0|0.0|100
0|2022-01-12|1213.0|0|1213.0|0|17.0|0|0.0|100
0|2022-01-13|1213.0|0|1215.0|0|17.0|0|0.0|100
0|2022-01-14|1224.0|0|1224.0|0|17.0|0|0.0|100
0|2022-01-15|1224.0|0|1224.0|0|17.0|0|0.0|100
0|2022-01-16|1224.0|0|1224.0|0|17.0|0|0.0|100
0|2022-01-17|1224.0|0|0.0|100|17.0|0|0.0|100
