|dates|Pope_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Pope_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Pope_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Pope_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Pope_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Pope_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Pope_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Pope_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-10|12048.0|0|12062.0|0|159.0|0|0.0|100
0|2021-11-11|12074.0|0|12074.0|0|159.0|0|0.0|100
0|2021-11-12|12083.0|0|12083.0|0|159.0|0|0.0|100
0|2021-11-13|12090.0|0|12090.0|0|159.0|0|0.0|100
0|2021-11-14|12092.0|0|12092.0|0|159.0|0|0.0|100
0|2021-11-15|12093.0|0|12093.0|0|159.0|0|0.0|100
0|2021-11-16|12112.0|0|12112.0|0|159.0|0|0.0|100
0|2021-11-17|12123.0|0|12123.0|0|159.0|0|0.0|100
0|2021-11-18|12147.0|0|12147.0|0|159.0|0|0.0|100
0|2021-11-19|12157.0|0|12157.0|0|159.0|0|0.0|100
0|2021-11-20|12176.0|0|12176.0|0|159.0|0|0.0|100
0|2021-11-21|12183.0|0|12183.0|0|159.0|0|0.0|100
0|2021-11-22|12189.0|0|12189.0|0|158.0|0|0.0|100
0|2021-11-23|12211.0|0|12211.0|0|158.0|0|0.0|100
0|2021-11-24|12229.0|0|12229.0|0|158.0|0|0.0|100
0|2021-11-25|12238.0|0|12238.0|0|158.0|0|0.0|100
0|2021-11-26|12243.0|0|12243.0|0|158.0|0|0.0|100
0|2021-11-27|12253.0|0|12253.0|0|158.0|0|0.0|100
0|2021-11-28|12263.0|0|12263.0|0|158.0|0|0.0|100
0|2021-11-29|12271.0|0|12271.0|0|158.0|0|0.0|100
0|2021-11-30|12271.0|0|12290.0|0|158.0|0|0.0|100
0|2021-12-01|12301.0|0|12301.0|0|158.0|0|0.0|100
0|2021-12-02|12320.0|0|12320.0|0|158.0|0|0.0|100
0|2021-12-03|12346.0|0|12346.0|0|158.0|0|0.0|100
0|2021-12-04|12364.0|0|12364.0|0|158.0|0|0.0|100
0|2021-12-05|12373.0|0|12373.0|0|159.0|0|0.0|100
0|2021-12-06|12380.0|0|12380.0|0|159.0|0|0.0|100
0|2021-12-07|12392.0|0|12392.0|0|159.0|0|0.0|100
0|2021-12-08|12404.0|0|12404.0|0|159.0|0|0.0|100
0|2021-12-09|12428.0|0|12428.0|0|159.0|0|0.0|100
0|2021-12-10|12460.0|0|12460.0|0|159.0|0|0.0|100
0|2021-12-11|12473.0|0|12473.0|0|159.0|0|0.0|100
0|2021-12-12|12477.0|0|12477.0|0|159.0|0|0.0|100
0|2021-12-13|12485.0|0|12485.0|0|159.0|0|0.0|100
0|2021-12-14|12485.0|0|12498.0|0|159.0|0|0.0|100
0|2021-12-15|12528.0|0|12528.0|0|160.0|0|0.0|100
0|2021-12-16|12547.0|0|12547.0|0|160.0|0|0.0|100
0|2021-12-17|12579.0|0|12579.0|0|161.0|0|0.0|100
0|2021-12-18|12598.0|0|12598.0|0|161.0|0|0.0|100
0|2021-12-19|12609.0|0|12609.0|0|162.0|0|0.0|100
0|2021-12-20|12617.0|0|12617.0|0|162.0|0|0.0|100
0|2021-12-21|12629.0|0|12629.0|0|162.0|0|0.0|100
0|2021-12-22|12652.0|0|12652.0|0|162.0|0|0.0|100
0|2021-12-23|12672.0|0|12672.0|0|162.0|0|0.0|100
0|2021-12-24|12713.0|0|12713.0|0|163.0|0|0.0|100
0|2021-12-25|12734.0|0|12734.0|0|164.0|0|0.0|100
0|2021-12-26|12737.0|0|12737.0|0|165.0|0|0.0|100
0|2021-12-27|12744.0|0|12744.0|0|165.0|0|0.0|100
0|2021-12-28|12778.0|0|12778.0|0|165.0|0|0.0|100
0|2021-12-29|12815.0|0|12815.0|0|165.0|0|0.0|100
0|2021-12-30|12871.0|0|12871.0|0|165.0|0|0.0|100
0|2021-12-31|12918.0|0|12918.0|0|165.0|0|0.0|100
0|2022-01-01|12976.0|0|12976.0|0|165.0|0|0.0|100
0|2022-01-02|12993.0|0|12993.0|0|165.0|0|0.0|100
0|2022-01-03|13015.0|0|13015.0|0|165.0|0|0.0|100
0|2022-01-04|13123.0|0|13123.0|0|165.0|0|0.0|100
0|2022-01-05|13232.0|0|13232.0|0|166.0|0|0.0|100
0|2022-01-06|13317.0|0|13317.0|0|166.0|0|0.0|100
0|2022-01-07|13440.0|0|13440.0|0|167.0|0|0.0|100
0|2022-01-08|13626.0|0|13626.0|0|168.0|0|0.0|100
0|2022-01-09|13626.0|0|13626.0|0|168.0|0|0.0|100
0|2022-01-10|13795.0|0|13795.0|0|168.0|0|0.0|100
0|2022-01-11|13901.0|0|13901.0|0|168.0|0|0.0|100
0|2022-01-12|14063.0|0|14063.0|0|168.0|0|0.0|100
0|2022-01-13|14063.0|0|14344.0|0|168.0|0|0.0|100
0|2022-01-14|14585.0|0|14585.0|0|170.0|0|0.0|100
0|2022-01-15|14876.0|0|14876.0|0|171.0|0|0.0|100
0|2022-01-16|15116.0|0|15116.0|0|171.0|0|0.0|100
0|2022-01-17|15148.0|0|0.0|100|171.0|0|0.0|100
