|dates|Collingsworth_Texas_UnitedStates.JHU_ConfirmedCases.data|Collingsworth_Texas_UnitedStates.JHU_ConfirmedCases.missing|Collingsworth_Texas_UnitedStates.NYT_ConfirmedCases.data|Collingsworth_Texas_UnitedStates.NYT_ConfirmedCases.missing|Collingsworth_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Collingsworth_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Collingsworth_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Collingsworth_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-10|409.0|0|409.0|0|11.0|0|0.0|100
0|2021-11-11|414.0|0|414.0|0|11.0|0|0.0|100
0|2021-11-12|414.0|0|414.0|0|11.0|0|0.0|100
0|2021-11-13|413.0|0|413.0|0|11.0|0|0.0|100
0|2021-11-14|413.0|0|413.0|0|11.0|0|0.0|100
0|2021-11-15|413.0|0|413.0|0|11.0|0|0.0|100
0|2021-11-16|414.0|0|414.0|0|11.0|0|0.0|100
0|2021-11-17|418.0|0|418.0|0|11.0|0|0.0|100
0|2021-11-18|418.0|0|418.0|0|11.0|0|0.0|100
0|2021-11-19|418.0|0|418.0|0|11.0|0|0.0|100
0|2021-11-20|420.0|0|420.0|0|11.0|0|0.0|100
0|2021-11-21|420.0|0|420.0|0|11.0|0|0.0|100
0|2021-11-22|420.0|0|420.0|0|11.0|0|0.0|100
0|2021-11-23|422.0|0|422.0|0|11.0|0|0.0|100
0|2021-11-24|422.0|0|422.0|0|11.0|0|0.0|100
0|2021-11-25|422.0|0|422.0|0|11.0|0|0.0|100
0|2021-11-26|422.0|0|422.0|0|11.0|0|0.0|100
0|2021-11-27|422.0|0|422.0|0|11.0|0|0.0|100
0|2021-11-28|422.0|0|422.0|0|11.0|0|0.0|100
0|2021-11-29|426.0|0|426.0|0|11.0|0|0.0|100
0|2021-11-30|426.0|0|426.0|0|11.0|0|0.0|100
0|2021-12-01|430.0|0|430.0|0|11.0|0|0.0|100
0|2021-12-02|432.0|0|432.0|0|11.0|0|0.0|100
0|2021-12-03|434.0|0|434.0|0|11.0|0|0.0|100
0|2021-12-04|435.0|0|435.0|0|11.0|0|0.0|100
0|2021-12-05|435.0|0|435.0|0|11.0|0|0.0|100
0|2021-12-06|435.0|0|435.0|0|11.0|0|0.0|100
0|2021-12-07|436.0|0|436.0|0|11.0|0|0.0|100
0|2021-12-08|437.0|0|437.0|0|11.0|0|0.0|100
0|2021-12-09|437.0|0|437.0|0|11.0|0|0.0|100
0|2021-12-10|437.0|0|437.0|0|11.0|0|0.0|100
0|2021-12-11|437.0|0|437.0|0|11.0|0|0.0|100
0|2021-12-12|437.0|0|437.0|0|11.0|0|0.0|100
0|2021-12-13|437.0|0|437.0|0|11.0|0|0.0|100
0|2021-12-14|437.0|0|440.0|0|11.0|0|0.0|100
0|2021-12-15|447.0|0|447.0|0|11.0|0|0.0|100
0|2021-12-16|452.0|0|452.0|0|11.0|0|0.0|100
0|2021-12-17|453.0|0|453.0|0|11.0|0|0.0|100
0|2021-12-18|454.0|0|454.0|0|11.0|0|0.0|100
0|2021-12-19|454.0|0|454.0|0|11.0|0|0.0|100
0|2021-12-20|455.0|0|455.0|0|11.0|0|0.0|100
0|2021-12-21|456.0|0|456.0|0|11.0|0|0.0|100
0|2021-12-22|457.0|0|457.0|0|11.0|0|0.0|100
0|2021-12-23|458.0|0|458.0|0|11.0|0|0.0|100
0|2021-12-24|458.0|0|458.0|0|11.0|0|0.0|100
0|2021-12-25|458.0|0|458.0|0|11.0|0|0.0|100
0|2021-12-26|458.0|0|458.0|0|11.0|0|0.0|100
0|2021-12-27|461.0|0|461.0|0|11.0|0|0.0|100
0|2021-12-28|465.0|0|465.0|0|11.0|0|0.0|100
0|2021-12-29|468.0|0|468.0|0|11.0|0|0.0|100
0|2021-12-30|474.0|0|474.0|0|11.0|0|0.0|100
0|2021-12-31|474.0|0|474.0|0|11.0|0|0.0|100
0|2022-01-01|474.0|0|474.0|0|11.0|0|0.0|100
0|2022-01-02|474.0|0|474.0|0|11.0|0|0.0|100
0|2022-01-03|480.0|0|480.0|0|11.0|0|0.0|100
0|2022-01-04|480.0|0|480.0|0|11.0|0|0.0|100
0|2022-01-05|481.0|0|481.0|0|11.0|0|0.0|100
0|2022-01-06|482.0|0|482.0|0|11.0|0|0.0|100
0|2022-01-07|484.0|0|484.0|0|11.0|0|0.0|100
0|2022-01-08|489.0|0|489.0|0|12.0|0|0.0|100
0|2022-01-09|489.0|0|489.0|0|12.0|0|0.0|100
0|2022-01-10|494.0|0|494.0|0|12.0|0|0.0|100
0|2022-01-11|502.0|0|502.0|0|12.0|0|0.0|100
0|2022-01-12|504.0|0|504.0|0|13.0|0|0.0|100
0|2022-01-13|504.0|0|508.0|0|13.0|0|0.0|100
0|2022-01-14|508.0|0|579.0|0|13.0|0|0.0|100
0|2022-01-15|585.0|0|585.0|0|13.0|0|0.0|100
0|2022-01-16|588.0|0|588.0|0|13.0|0|0.0|100
0|2022-01-17|595.0|0|0.0|100|13.0|0|0.0|100
