|dates|Nelson_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Nelson_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Nelson_NorthDakota_UnitedStates.Male_Total_Population.data|Nelson_NorthDakota_UnitedStates.Male_Total_Population.missing|Nelson_NorthDakota_UnitedStates.Female_Total_Population.data|Nelson_NorthDakota_UnitedStates.Female_Total_Population.missing|Nelson_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Nelson_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-06|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-07|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-08|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-09|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-10|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-11|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-12|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-13|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-14|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-15|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-16|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-17|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-18|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-19|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-20|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-21|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-22|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-23|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-24|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-25|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-26|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-27|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-28|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-29|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-30|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-31|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-01|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-02|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-03|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-04|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-05|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-06|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-07|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-08|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-09|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-10|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-11|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-12|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-13|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-14|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-15|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-16|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2022-01-17|772.0|0|1472.0|0|1397.0|0|554.0|0
