|dates|Hoonah-Angoon_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hoonah-Angoon_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hoonah-Angoon_Alaska_UnitedStates.Male_Total_Population.data|Hoonah-Angoon_Alaska_UnitedStates.Male_Total_Population.missing|Hoonah-Angoon_Alaska_UnitedStates.Female_Total_Population.data|Hoonah-Angoon_Alaska_UnitedStates.Female_Total_Population.missing|Hoonah-Angoon_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|Hoonah-Angoon_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-04|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-05|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-06|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-07|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-08|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-09|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-10|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-11|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-12|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-13|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-14|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-15|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-16|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-17|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-18|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-19|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-20|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-21|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-22|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-23|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-24|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-25|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-26|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-27|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-28|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-29|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-30|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-31|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-01|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-02|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-03|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-04|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-05|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-06|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-07|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-08|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-09|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-10|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-11|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-12|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-13|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-14|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-15|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-16|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2022-01-17|483.0|0|1134.0|0|1017.0|0|397.0|0
