|dates|Cabell_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Cabell_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Cabell_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Cabell_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Cabell_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Cabell_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Cabell_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Cabell_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-31|17685.0|0|17685.0|0|299.0|0|0.0|100
0|2022-01-01|17685.0|0|17685.0|0|299.0|0|0.0|100
0|2022-01-02|17685.0|0|17685.0|0|299.0|0|0.0|100
0|2022-01-03|18132.0|0|18132.0|0|302.0|0|0.0|100
0|2022-01-04|18323.0|0|18323.0|0|303.0|0|0.0|100
0|2022-01-05|18501.0|0|18501.0|0|304.0|0|0.0|100
0|2022-01-06|18840.0|0|18840.0|0|304.0|0|0.0|100
0|2022-01-07|19058.0|0|19058.0|0|306.0|0|0.0|100
0|2022-01-08|19323.0|0|19323.0|0|306.0|0|0.0|100
0|2022-01-09|19445.0|0|19445.0|0|306.0|0|0.0|100
0|2022-01-10|19532.0|0|19532.0|0|308.0|0|0.0|100
0|2022-01-11|19670.0|0|19670.0|0|308.0|0|0.0|100
0|2022-01-12|19940.0|0|19940.0|0|309.0|0|0.0|100
0|2022-01-13|19940.0|0|20328.0|0|309.0|0|0.0|100
0|2022-01-14|20638.0|0|20638.0|0|309.0|0|0.0|100
0|2022-01-15|20980.0|0|20980.0|0|309.0|0|0.0|100
0|2022-01-16|21192.0|0|21192.0|0|309.0|0|0.0|100
0|2022-01-17|21439.0|0|0.0|100|310.0|0|0.0|100
