|dates|Terrell_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Terrell_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Terrell_Texas_UnitedStates.Male_Total_Population.data|Terrell_Texas_UnitedStates.Male_Total_Population.missing|Terrell_Texas_UnitedStates.Female_Total_Population.data|Terrell_Texas_UnitedStates.Female_Total_Population.missing|Terrell_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Terrell_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-05|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-06|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-07|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-08|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-09|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-10|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-11|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-12|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-13|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-14|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-15|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-16|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-17|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-18|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-19|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-20|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-21|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-22|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-23|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-24|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-25|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-26|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-27|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-28|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-29|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-30|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-31|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-01|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-02|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-03|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-04|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-05|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-06|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-07|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-08|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-09|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-10|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-11|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-12|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-13|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-14|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-15|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-16|244.0|0|421.0|0|402.0|0|163.0|0
0|2022-01-17|244.0|0|421.0|0|402.0|0|163.0|0
