|dates|Pike_Indiana_UnitedStates.JHU_ConfirmedCases.data|Pike_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Pike_Indiana_UnitedStates.NYT_ConfirmedCases.data|Pike_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Pike_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Pike_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Pike_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Pike_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-17|2367.0|0|2368.0|0|44.0|0|0.0|100
0|2021-11-18|2381.0|0|2382.0|0|44.0|0|0.0|100
0|2021-11-19|2391.0|0|2392.0|0|44.0|0|0.0|100
0|2021-11-20|2391.0|0|2392.0|0|44.0|0|0.0|100
0|2021-11-21|2391.0|0|2392.0|0|44.0|0|0.0|100
0|2021-11-22|2396.0|0|2397.0|0|44.0|0|0.0|100
0|2021-11-23|2404.0|0|2405.0|0|44.0|0|0.0|100
0|2021-11-24|2417.0|0|2418.0|0|44.0|0|0.0|100
0|2021-11-25|2417.0|0|2418.0|0|44.0|0|0.0|100
0|2021-11-26|2417.0|0|2418.0|0|44.0|0|0.0|100
0|2021-11-27|2417.0|0|2418.0|0|44.0|0|0.0|100
0|2021-11-28|2417.0|0|2418.0|0|44.0|0|0.0|100
0|2021-11-29|2441.0|0|2442.0|0|44.0|0|0.0|100
0|2021-11-30|2450.0|0|2451.0|0|44.0|0|0.0|100
0|2021-12-01|2455.0|0|2456.0|0|44.0|0|0.0|100
0|2021-12-02|2472.0|0|2473.0|0|44.0|0|0.0|100
0|2021-12-03|2486.0|0|2487.0|0|44.0|0|0.0|100
0|2021-12-04|2486.0|0|2487.0|0|44.0|0|0.0|100
0|2021-12-05|2486.0|0|2487.0|0|44.0|0|0.0|100
0|2021-12-06|2512.0|0|2513.0|0|44.0|0|0.0|100
0|2021-12-07|2522.0|0|2523.0|0|44.0|0|0.0|100
0|2021-12-08|2543.0|0|2544.0|0|45.0|0|0.0|100
0|2021-12-09|2565.0|0|2566.0|0|45.0|0|0.0|100
0|2021-12-10|2586.0|0|2587.0|0|45.0|0|0.0|100
0|2021-12-11|2586.0|0|2587.0|0|45.0|0|0.0|100
0|2021-12-12|2586.0|0|2587.0|0|45.0|0|0.0|100
0|2021-12-13|2617.0|0|2618.0|0|45.0|0|0.0|100
0|2021-12-14|2617.0|0|2634.0|0|45.0|0|0.0|100
0|2021-12-15|2644.0|0|2645.0|0|45.0|0|0.0|100
0|2021-12-16|2656.0|0|2657.0|0|45.0|0|0.0|100
0|2021-12-17|2679.0|0|2680.0|0|45.0|0|0.0|100
0|2021-12-18|2679.0|0|2680.0|0|45.0|0|0.0|100
0|2021-12-19|2679.0|0|2680.0|0|45.0|0|0.0|100
0|2021-12-20|2707.0|0|2708.0|0|45.0|0|0.0|100
0|2021-12-21|2716.0|0|2717.0|0|45.0|0|0.0|100
0|2021-12-22|2722.0|0|2723.0|0|45.0|0|0.0|100
0|2021-12-23|2722.0|0|2723.0|0|45.0|0|0.0|100
0|2021-12-24|2722.0|0|2723.0|0|45.0|0|0.0|100
0|2021-12-25|2722.0|0|2723.0|0|45.0|0|0.0|100
0|2021-12-26|2722.0|0|2723.0|0|45.0|0|0.0|100
0|2021-12-27|2747.0|0|2748.0|0|45.0|0|0.0|100
0|2021-12-28|2749.0|0|2750.0|0|45.0|0|0.0|100
0|2021-12-29|2761.0|0|2762.0|0|45.0|0|0.0|100
0|2021-12-30|2775.0|0|2776.0|0|45.0|0|0.0|100
0|2021-12-31|2775.0|0|2776.0|0|45.0|0|0.0|100
0|2022-01-01|2775.0|0|2776.0|0|45.0|0|0.0|100
0|2022-01-02|2775.0|0|2776.0|0|45.0|0|0.0|100
0|2022-01-03|2797.0|0|2798.0|0|45.0|0|0.0|100
0|2022-01-04|2804.0|0|2805.0|0|45.0|0|0.0|100
0|2022-01-05|2822.0|0|2823.0|0|45.0|0|0.0|100
0|2022-01-06|2835.0|0|2836.0|0|45.0|0|0.0|100
0|2022-01-07|2855.0|0|2856.0|0|45.0|0|0.0|100
0|2022-01-08|2855.0|0|2856.0|0|45.0|0|0.0|100
0|2022-01-09|2855.0|0|2856.0|0|45.0|0|0.0|100
0|2022-01-10|2903.0|0|2904.0|0|45.0|0|0.0|100
0|2022-01-11|2916.0|0|2917.0|0|45.0|0|0.0|100
0|2022-01-12|2950.0|0|2951.0|0|45.0|0|0.0|100
0|2022-01-13|2950.0|0|2992.0|0|45.0|0|0.0|100
0|2022-01-14|3020.0|0|3021.0|0|45.0|0|0.0|100
0|2022-01-15|3020.0|0|3021.0|0|45.0|0|0.0|100
0|2022-01-16|3020.0|0|3021.0|0|45.0|0|0.0|100
0|2022-01-17|3089.0|0|0.0|100|45.0|0|0.0|100
