|dates|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Lafayette_Wisconsin_UnitedStates.NYT_ConfirmedCases.data|Lafayette_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-23|2367.0|0|2367.0|0|12.0|0|0.0|100
0|2021-11-24|2381.0|0|2381.0|0|12.0|0|0.0|100
0|2021-11-25|2389.0|0|2389.0|0|12.0|0|0.0|100
0|2021-11-26|2389.0|0|2389.0|0|12.0|0|0.0|100
0|2021-11-27|2389.0|0|2389.0|0|12.0|0|0.0|100
0|2021-11-28|2389.0|0|2389.0|0|12.0|0|0.0|100
0|2021-11-29|2408.0|0|2408.0|0|13.0|0|0.0|100
0|2021-11-30|2416.0|0|2416.0|0|13.0|0|0.0|100
0|2021-12-01|2434.0|0|2434.0|0|13.0|0|0.0|100
0|2021-12-02|2447.0|0|2447.0|0|13.0|0|0.0|100
0|2021-12-03|2459.0|0|2459.0|0|13.0|0|0.0|100
0|2021-12-04|2459.0|0|2459.0|0|13.0|0|0.0|100
0|2021-12-05|2459.0|0|2459.0|0|13.0|0|0.0|100
0|2021-12-06|2459.0|0|2459.0|0|13.0|0|0.0|100
0|2021-12-07|2459.0|0|2459.0|0|13.0|0|0.0|100
0|2021-12-08|2487.0|0|2487.0|0|15.0|0|0.0|100
0|2021-12-09|2508.0|0|2508.0|0|15.0|0|0.0|100
0|2021-12-10|2526.0|0|2526.0|0|15.0|0|0.0|100
0|2021-12-11|2526.0|0|2526.0|0|15.0|0|0.0|100
0|2021-12-12|2526.0|0|2526.0|0|15.0|0|0.0|100
0|2021-12-13|2550.0|0|2550.0|0|15.0|0|0.0|100
0|2021-12-14|2550.0|0|2559.0|0|15.0|0|0.0|100
0|2021-12-15|2568.0|0|2568.0|0|16.0|0|0.0|100
0|2021-12-16|2576.0|0|2576.0|0|16.0|0|0.0|100
0|2021-12-17|2586.0|0|2586.0|0|16.0|0|0.0|100
0|2021-12-18|2586.0|0|2586.0|0|16.0|0|0.0|100
0|2021-12-19|2586.0|0|2586.0|0|16.0|0|0.0|100
0|2021-12-20|2601.0|0|2601.0|0|16.0|0|0.0|100
0|2021-12-21|2607.0|0|2607.0|0|18.0|0|0.0|100
0|2021-12-22|2619.0|0|2619.0|0|18.0|0|0.0|100
0|2021-12-23|2626.0|0|2626.0|0|18.0|0|0.0|100
0|2021-12-24|2639.0|0|2639.0|0|18.0|0|0.0|100
0|2021-12-25|2639.0|0|2639.0|0|18.0|0|0.0|100
0|2021-12-26|2639.0|0|2639.0|0|18.0|0|0.0|100
0|2021-12-27|2659.0|0|2659.0|0|18.0|0|0.0|100
0|2021-12-28|2666.0|0|2666.0|0|18.0|0|0.0|100
0|2021-12-29|2675.0|0|2675.0|0|18.0|0|0.0|100
0|2021-12-30|2686.0|0|2686.0|0|18.0|0|0.0|100
0|2021-12-31|2703.0|0|2703.0|0|18.0|0|0.0|100
0|2022-01-01|2703.0|0|2703.0|0|18.0|0|0.0|100
0|2022-01-02|2703.0|0|2703.0|0|18.0|0|0.0|100
0|2022-01-03|2733.0|0|2733.0|0|18.0|0|0.0|100
0|2022-01-04|2733.0|0|2744.0|0|18.0|0|0.0|100
0|2022-01-05|2763.0|0|2763.0|0|18.0|0|0.0|100
0|2022-01-06|2788.0|0|2788.0|0|18.0|0|0.0|100
0|2022-01-07|2815.0|0|2815.0|0|18.0|0|0.0|100
0|2022-01-08|2815.0|0|2815.0|0|18.0|0|0.0|100
0|2022-01-09|2815.0|0|2815.0|0|18.0|0|0.0|100
0|2022-01-10|2883.0|0|2883.0|0|18.0|0|0.0|100
0|2022-01-11|2909.0|0|2909.0|0|18.0|0|0.0|100
0|2022-01-12|2961.0|0|2961.0|0|18.0|0|0.0|100
0|2022-01-13|2961.0|0|3001.0|0|18.0|0|0.0|100
0|2022-01-14|3063.0|0|3063.0|0|18.0|0|0.0|100
0|2022-01-15|3063.0|0|3063.0|0|18.0|0|0.0|100
0|2022-01-16|3063.0|0|3063.0|0|18.0|0|0.0|100
0|2022-01-17|3131.0|0|0.0|100|18.0|0|0.0|100
