|dates|Suffolk_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Suffolk_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Suffolk_NewYork_UnitedStates.Male_Total_Population.data|Suffolk_NewYork_UnitedStates.Male_Total_Population.missing|Suffolk_NewYork_UnitedStates.Female_Total_Population.data|Suffolk_NewYork_UnitedStates.Female_Total_Population.missing|Suffolk_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Suffolk_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-31|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-01|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-02|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-03|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-04|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-05|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-06|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-07|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-08|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-09|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-10|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-11|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-12|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-13|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-14|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-15|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-16|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2022-01-17|249756.0|0|729117.0|0|751976.0|0|313019.0|0
