|dates|Washington_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Washington_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Washington_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Washington_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Washington_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-16|46540.0|0|46540.0|0|504.0|0|0.0|100
0|2021-12-17|46598.0|0|46598.0|0|504.0|0|0.0|100
0|2021-12-18|46658.0|0|46658.0|0|504.0|0|0.0|100
0|2021-12-19|46682.0|0|46682.0|0|505.0|0|0.0|100
0|2021-12-20|46713.0|0|46713.0|0|506.0|0|0.0|100
0|2021-12-21|46758.0|0|46758.0|0|506.0|0|0.0|100
0|2021-12-22|46809.0|0|46809.0|0|507.0|0|0.0|100
0|2021-12-23|46887.0|0|46887.0|0|507.0|0|0.0|100
0|2021-12-24|46994.0|0|46994.0|0|507.0|0|0.0|100
0|2021-12-25|47068.0|0|47068.0|0|507.0|0|0.0|100
0|2021-12-26|47084.0|0|47084.0|0|507.0|0|0.0|100
0|2021-12-27|47162.0|0|47162.0|0|508.0|0|0.0|100
0|2021-12-28|47306.0|0|47306.0|0|509.0|0|0.0|100
0|2021-12-29|47473.0|0|47473.0|0|509.0|0|0.0|100
0|2021-12-30|47756.0|0|47756.0|0|511.0|0|0.0|100
0|2021-12-31|47853.0|0|47853.0|0|512.0|0|0.0|100
0|2022-01-01|48114.0|0|48114.0|0|515.0|0|0.0|100
0|2022-01-02|48195.0|0|48195.0|0|517.0|0|0.0|100
0|2022-01-03|48245.0|0|48245.0|0|518.0|0|0.0|100
0|2022-01-04|48717.0|0|48717.0|0|518.0|0|0.0|100
0|2022-01-05|49250.0|0|49250.0|0|520.0|0|0.0|100
0|2022-01-06|49949.0|0|49949.0|0|519.0|0|0.0|100
0|2022-01-07|50517.0|0|50517.0|0|521.0|0|0.0|100
0|2022-01-08|51123.0|0|51123.0|0|521.0|0|0.0|100
0|2022-01-09|51123.0|0|51123.0|0|521.0|0|0.0|100
0|2022-01-10|51895.0|0|51895.0|0|520.0|0|0.0|100
0|2022-01-11|52327.0|0|52327.0|0|522.0|0|0.0|100
0|2022-01-12|53341.0|0|53341.0|0|522.0|0|0.0|100
0|2022-01-13|53341.0|0|54794.0|0|522.0|0|0.0|100
0|2022-01-14|55349.0|0|55349.0|0|525.0|0|0.0|100
0|2022-01-15|56202.0|0|56202.0|0|527.0|0|0.0|100
0|2022-01-16|56733.0|0|56733.0|0|527.0|0|0.0|100
0|2022-01-17|56841.0|0|0.0|100|527.0|0|0.0|100
